,サクラ,サクラ満開,モンシロチョウ,ウメ,ウグイス,ひばり初鳴,たんぽぽ,ツバキ,ツバメ初見,トノサマガエル初見
1999,2020/04/13,2020/04/18,2020/04/16,2020/04/03,2020/04/25,2020/03/18,2020/04/15,,2020/04/11,2020/05/07
2000,2020/04/18,2020/04/22,2020/04/26,2020/04/05,2020/04/09,2020/03/15,2020/04/21,2020/03/23,2020/03/29,
2001,2020/04/11,2020/04/15,2020/04/07,2020/04/09,2020/04/08,2020/03/20,2020/04/17,2020/04/02,2020/04/05,2020/04/30
2002,2020/04/04,2020/04/08,2020/04/20,2020/03/30,2020/04/11,2020/03/18,2020/04/03,2020/03/11,2020/03/29,2020/05/01
2003,2020/04/12,2020/04/16,2020/04/14,2020/04/07,2020/05/02,2020/03/16,2020/04/10,2020/03/09,2020/04/14,2020/05/06
2004,2020/04/09,2020/04/12,2020/04/22,2020/03/29,2020/04/14,2020/03/22,2020/04/14,,2020/04/26,
2005,2020/04/19,2020/04/25,2020/04/21,2020/04/10,2020/05/01,2020/03/23,2020/04/12,,2020/04/21,
2006,2020/04/16,2020/04/21,2020/05/03,2020/04/18,,2020/03/24,2020/04/22,2020/03/23,2020/05/03,
2007,2020/04/12,2020/04/19,2020/04/26,2020/03/29,2020/04/18,2020/03/27,2020/04/09,2020/02/22,2020/04/26,
2008,2020/04/09,2020/04/13,2020/04/09,2020/04/05,2020/04/29,2020/03/13,2020/04/09,2020/03/15,2020/04/25,
2009,2020/04/11,2020/04/14,2020/04/11,2020/04/04,2020/04/11,2020/04/12,2020/04/07,2020/03/08,2020/04/22,
