ダウンロードした時刻：2019/06/29 17:28:27

,,,酒田
年,月,日,平均気温(℃)
1949,11,19,4.8
1949,11,20,2.7
1949,11,21,7.1
1949,11,22,10.2
1949,11,23,9.1
1949,11,24,5.8
1949,11,25,5.8
1949,11,26,5.6
1949,11,27,4.8
1949,11,28,4.7
1949,11,29,3.1
1949,11,30,6.2
1949,12,1,7.6
1949,12,2,7.3
1949,12,3,8.2
1949,12,4,8.2
1949,12,5,9.6
1949,12,6,3.7
1949,12,7,3.1
1949,12,8,0.6
1949,12,9,3.1
1949,12,10,4.5
1949,12,11,5.6
1949,12,12,5.2
1949,12,13,4.1
1949,12,14,5.7
1949,12,15,4.8
1949,12,16,4.3
1949,12,17,4.4
1949,12,18,2.9
1949,12,19,3.4
1949,12,20,2.6
1949,12,21,3.9
1949,12,22,1.6
1949,12,23,2.6
1949,12,24,4.1
1949,12,25,-2.5
1949,12,26,-1.1
1949,12,27,0.1
1949,12,28,-3.3
1949,12,29,-4.0
1949,12,30,-1.7
1949,12,31,1.5
1950,1,1,0.5
1950,1,2,1.6
1950,1,3,1.7
1950,1,4,-1.4
1950,1,5,-3.0
1950,1,6,-2.5
1950,1,7,-1.9
1950,1,8,-0.6
1950,1,9,-0.5
1950,1,10,1.3
1950,1,11,-1.6
1950,1,12,0.0
1950,1,13,0.3
1950,1,14,-1.8
1950,1,15,2.1
1950,1,16,5.6
1950,1,17,1.9
1950,1,18,3.6
1950,1,19,5.2
1950,1,20,2.6
1950,1,21,2.8
1950,1,22,3.3
1950,1,23,1.8
1950,1,24,-0.5
1950,1,25,1.3
1950,1,26,3.0
1950,1,27,2.7
1950,1,28,3.8
1950,1,29,0.0
1950,1,30,4.7
1950,1,31,5.1
1950,2,1,-2.1
1950,2,2,1.4
1950,2,3,0.0
1950,2,4,2.1
1950,2,5,0.9
1950,2,6,1.3
1950,2,7,3.8
1950,2,8,3.7
1950,2,9,8.6
1950,2,10,3.4
1950,2,11,3.2
1950,2,12,1.5
1950,2,13,-1.3
1950,2,14,-1.4
1950,2,15,-1.2
1950,2,16,-0.9
1950,2,17,0.4
1950,2,18,-0.2
1950,2,19,-0.6
1950,2,20,0.4
1950,2,21,0.3
1950,2,22,1.6
1950,2,23,1.3
1950,2,24,1.7
1950,2,25,5.5
1950,2,26,5.2
1950,2,27,-1.1
1950,2,28,-1.7
1950,3,1,2.5
1950,3,2,1.9
1950,3,3,2.5
1950,3,4,4.6
1950,3,5,3.8
1950,3,6,4.7
1950,3,7,8.6
1950,3,8,0.9
1950,3,9,0.3
1950,3,10,3.7
1950,3,11,3.7
1950,3,12,0.3
1950,3,13,1.6
1950,3,14,2.3
1950,3,15,3.8
1950,3,16,4.5
1950,3,17,7.6
1950,3,18,6.5
1950,3,19,6.9
1950,3,20,3.0
1950,3,21,0.6
1950,3,22,0.0
1950,3,23,1.5
1950,3,24,3.1
1950,3,25,6.7
1950,3,26,8.1
1950,3,27,6.1
1950,3,28,5.6
1950,3,29,5.8
1950,3,30,7.8
1950,3,31,10.9
1950,4,1,12.0
1950,4,2,8.6
1950,4,3,6.8
1950,4,4,8.3
1950,4,5,7.2
1950,4,6,7.7
1950,4,7,6.2
1950,4,8,6.0
1950,4,9,5.3
1950,4,10,7.2
1950,4,11,9.1
1950,4,12,10.6
1950,4,13,11.8
1950,4,14,12.6
1950,4,15,10.6
1950,4,16,9.6
1950,4,17,10.8
1950,4,18,11.0
1950,4,19,9.3
1950,4,20,7.6
1950,4,21,8.6
1950,4,22,10.3
1950,4,23,10.9
1950,4,24,13.6
1950,4,25,13.9
1950,4,26,9.4
1950,4,27,9.9
1950,4,28,10.0
1950,4,29,10.0
1950,4,30,13.9
1950,5,1,16.1
1950,5,2,16.1
1950,5,3,17.4
1950,5,4,21.5
1950,5,5,15.2
1950,5,6,14.7
1950,5,7,13.1
1950,5,8,12.0
1950,5,9,15.0
1950,5,10,16.1
1950,5,11,16.3
1950,5,12,14.3
1950,5,13,16.1
1950,5,14,12.0
1950,5,15,16.7
1950,5,16,16.8
1950,5,17,16.2
1950,5,18,18.7
1950,5,19,13.9
1950,5,20,11.5
1950,5,21,12.2
1950,5,22,14.3
1950,5,23,14.5
1950,5,24,14.4
1950,5,25,17.0
1950,5,26,19.9
1950,5,27,18.0
1950,5,28,15.8
1950,5,29,15.9
1950,5,30,16.6
1950,5,31,17.3
1950,6,1,20.3
1950,6,2,16.5
1950,6,3,17.3
1950,6,4,17.5
1950,6,5,15.4
1950,6,6,15.1
1950,6,7,17.5
1950,6,8,20.7
1950,6,9,18.8
1950,6,10,17.5
1950,6,11,19.7
1950,6,12,17.9
1950,6,13,19.6
1950,6,14,20.3
1950,6,15,17.4
1950,6,16,17.5
1950,6,17,18.8
1950,6,18,19.7
1950,6,19,18.8
1950,6,20,19.7
1950,6,21,19.1
1950,6,22,20.7
1950,6,23,20.0
1950,6,24,21.5
1950,6,25,20.6
1950,6,26,18.0
1950,6,27,19.5
1950,6,28,20.1
1950,6,29,19.8
1950,6,30,19.2
1950,7,1,20.6
1950,7,2,21.0
1950,7,3,18.5
1950,7,4,20.2
1950,7,5,20.4
1950,7,6,21.9
1950,7,7,23.4
1950,7,8,25.0
1950,7,9,22.8
1950,7,10,21.3
1950,7,11,21.8
1950,7,12,23.7
1950,7,13,23.2
1950,7,14,21.8
1950,7,15,22.2
1950,7,16,24.3
1950,7,17,25.9
1950,7,18,25.9
1950,7,19,26.6
1950,7,20,27.0
1950,7,21,27.7
1950,7,22,27.5
1950,7,23,26.8
1950,7,24,26.0
1950,7,25,25.8
1950,7,26,26.5
1950,7,27,27.6
1950,7,28,28.0
1950,7,29,27.4
1950,7,30,27.0
1950,7,31,28.0
1950,8,1,28.5
1950,8,2,27.3
1950,8,3,27.6
1950,8,4,26.8
1950,8,5,26.8
1950,8,6,28.1
1950,8,7,27.7
1950,8,8,27.1
1950,8,9,27.4
1950,8,10,28.2
1950,8,11,28.1
1950,8,12,27.5
1950,8,13,26.7
1950,8,14,26.8
1950,8,15,25.6
1950,8,16,26.2
1950,8,17,25.8
1950,8,18,26.8
1950,8,19,27.5
1950,8,20,27.2
1950,8,21,27.6
1950,8,22,26.3
1950,8,23,26.9
1950,8,24,24.2
1950,8,25,22.4
1950,8,26,23.7
1950,8,27,22.6
1950,8,28,20.8
1950,8,29,21.9
1950,8,30,20.9
1950,8,31,22.2
1950,9,1,25.3
1950,9,2,22.1
1950,9,3,26.2
1950,9,4,23.8
1950,9,5,20.4
1950,9,6,23.5
1950,9,7,24.3
1950,9,8,23.4
1950,9,9,24.2
1950,9,10,23.3
1950,9,11,22.1
1950,9,12,24.6
1950,9,13,25.2
1950,9,14,26.3
1950,9,15,23.6
1950,9,16,26.1
1950,9,17,24.7
1950,9,18,23.3
1950,9,19,22.1
1950,9,20,19.5
1950,9,21,17.2
1950,9,22,14.7
1950,9,23,17.0
1950,9,24,17.0
1950,9,25,17.3
1950,9,26,17.9
1950,9,27,19.8
1950,9,28,19.3
1950,9,29,18.2
1950,9,30,18.2
1950,10,1,16.0
1950,10,2,13.9
1950,10,3,14.0
1950,10,4,14.5
1950,10,5,13.2
1950,10,6,13.9
1950,10,7,15.0
1950,10,8,15.8
1950,10,9,16.8
1950,10,10,14.0
1950,10,11,11.9
1950,10,12,13.9
1950,10,13,17.3
1950,10,14,17.6
1950,10,15,13.2
1950,10,16,15.3
1950,10,17,13.7
1950,10,18,14.0
1950,10,19,13.0
1950,10,20,13.6
1950,10,21,13.7
1950,10,22,11.2
1950,10,23,10.5
1950,10,24,8.8
1950,10,25,7.1
1950,10,26,6.9
1950,10,27,8.1
1950,10,28,9.9
1950,10,29,10.3
1950,10,30,12.9
1950,10,31,12.8
1950,11,1,13.8
1950,11,2,11.7
1950,11,3,10.2
1950,11,4,14.6
1950,11,5,9.3
1950,11,6,9.6
1950,11,7,10.6
1950,11,8,10.2
1950,11,9,8.8
1950,11,10,10.5
1950,11,11,12.6
1950,11,12,10.8
1950,11,13,9.9
1950,11,14,8.8
1950,11,15,2.1
1950,11,16,4.9
1950,11,17,6.4
1950,11,18,11.0
1950,11,19,8.5
1950,11,20,7.6
1950,11,21,12.0
1950,11,22,9.3
1950,11,23,9.7
1950,11,24,13.2
1950,11,25,4.9
1950,11,26,2.7
1950,11,27,5.0
1950,11,28,2.8
1950,11,29,0.8
1950,11,30,3.8
1950,12,1,4.5
1950,12,2,6.3
1950,12,3,2.6
1950,12,4,3.3
1950,12,5,5.2
1950,12,6,3.5
1950,12,7,2.3
1950,12,8,3.2
1950,12,9,6.0
1950,12,10,3.3
1950,12,11,5.6
1950,12,12,5.5
1950,12,13,6.1
1950,12,14,6.7
1950,12,15,3.8
1950,12,16,5.5
1950,12,17,6.1
1950,12,18,1.7
1950,12,19,2.1
1950,12,20,3.5
1950,12,21,2.6
1950,12,22,3.4
1950,12,23,2.9
1950,12,24,1.0
1950,12,25,0.3
1950,12,26,1.8
1950,12,27,-1.5
1950,12,28,-0.6
1950,12,29,1.0
1950,12,30,2.6
1950,12,31,-1.0
1951,1,1,-2.9
1951,1,2,-3.4
1951,1,3,-0.8
1951,1,4,-2.0
1951,1,5,-2.9
1951,1,6,-1.8
1951,1,7,-1.4
1951,1,8,-0.2
1951,1,9,-1.8
1951,1,10,-2.0
1951,1,11,0.3
1951,1,12,1.3
1951,1,13,-3.8
1951,1,14,-3.5
1951,1,15,-1.5
1951,1,16,0.0
1951,1,17,1.9
1951,1,18,-0.7
1951,1,19,0.8
1951,1,20,0.9
1951,1,21,-3.7
1951,1,22,-3.5
1951,1,23,0.5
1951,1,24,1.2
1951,1,25,1.3
1951,1,26,-1.0
1951,1,27,-0.3
1951,1,28,1.5
1951,1,29,3.1
1951,1,30,-0.5
1951,1,31,0.2
1951,2,1,2.1
1951,2,2,1.8
1951,2,3,-1.0
1951,2,4,-0.8
1951,2,5,0.0
1951,2,6,-0.4
1951,2,7,0.3
1951,2,8,1.6
1951,2,9,3.1
1951,2,10,3.4
1951,2,11,-0.7
1951,2,12,-1.1
1951,2,13,-1.6
1951,2,14,-0.1
1951,2,15,-0.7
1951,2,16,0.7
1951,2,17,1.6
1951,2,18,1.0
1951,2,19,1.9
1951,2,20,-0.1
1951,2,21,0.4
1951,2,22,6.2
1951,2,23,5.5
1951,2,24,2.3
1951,2,25,2.5
1951,2,26,4.6
1951,2,27,3.2
1951,2,28,5.8
1951,3,1,8.9
1951,3,2,2.2
1951,3,3,-1.5
1951,3,4,-2.7
1951,3,5,-2.2
1951,3,6,2.3
1951,3,7,2.4
1951,3,8,3.0
1951,3,9,2.3
1951,3,10,6.4
1951,3,11,7.1
1951,3,12,2.0
1951,3,13,2.5
1951,3,14,4.1
1951,3,15,5.7
1951,3,16,2.9
1951,3,17,6.4
1951,3,18,8.0
1951,3,19,3.0
1951,3,20,1.3
1951,3,21,2.2
1951,3,22,2.3
1951,3,23,2.1
1951,3,24,6.7
1951,3,25,7.3
1951,3,26,8.0
1951,3,27,5.6
1951,3,28,3.7
1951,3,29,6.0
1951,3,30,3.8
1951,3,31,5.8
1951,4,1,8.4
1951,4,2,8.5
1951,4,3,7.5
1951,4,4,7.2
1951,4,5,6.3
1951,4,6,8.8
1951,4,7,10.6
1951,4,8,9.1
1951,4,9,6.9
1951,4,10,5.3
1951,4,11,6.0
1951,4,12,7.2
1951,4,13,6.9
1951,4,14,6.4
1951,4,15,7.8
1951,4,16,9.5
1951,4,17,9.4
1951,4,18,8.0
1951,4,19,11.2
1951,4,20,10.9
1951,4,21,9.4
1951,4,22,7.4
1951,4,23,7.9
1951,4,24,6.6
1951,4,25,9.0
1951,4,26,9.7
1951,4,27,10.0
1951,4,28,14.0
1951,4,29,12.3
1951,4,30,11.4
1951,5,1,10.9
1951,5,2,8.1
1951,5,3,8.6
1951,5,4,12.9
1951,5,5,11.1
1951,5,6,7.5
1951,5,7,11.9
1951,5,8,16.0
1951,5,9,13.5
1951,5,10,12.4
1951,5,11,14.9
1951,5,12,14.9
1951,5,13,14.3
1951,5,14,11.0
1951,5,15,12.7
1951,5,16,17.8
1951,5,17,14.2
1951,5,18,10.4
1951,5,19,11.8
1951,5,20,10.5
1951,5,21,11.2
1951,5,22,16.4
1951,5,23,14.5
1951,5,24,16.3
1951,5,25,17.5
1951,5,26,19.2
1951,5,27,18.5
1951,5,28,14.9
1951,5,29,15.5
1951,5,30,19.1
1951,5,31,20.2
1951,6,1,17.8
1951,6,2,19.4
1951,6,3,23.4
1951,6,4,22.6
1951,6,5,17.2
1951,6,6,16.7
1951,6,7,18.4
1951,6,8,18.7
1951,6,9,19.9
1951,6,10,15.9
1951,6,11,15.6
1951,6,12,15.4
1951,6,13,15.7
1951,6,14,18.8
1951,6,15,19.8
1951,6,16,18.7
1951,6,17,17.4
1951,6,18,16.7
1951,6,19,19.3
1951,6,20,19.3
1951,6,21,19.1
1951,6,22,18.5
1951,6,23,17.3
1951,6,24,17.8
1951,6,25,19.0
1951,6,26,17.4
1951,6,27,19.9
1951,6,28,21.7
1951,6,29,19.9
1951,6,30,20.4
1951,7,1,21.3
1951,7,2,18.7
1951,7,3,18.2
1951,7,4,18.9
1951,7,5,20.7
1951,7,6,19.2
1951,7,7,18.0
1951,7,8,18.6
1951,7,9,20.9
1951,7,10,24.5
1951,7,11,23.7
1951,7,12,23.2
1951,7,13,21.5
1951,7,14,20.4
1951,7,15,18.7
1951,7,16,19.2
1951,7,17,21.0
1951,7,18,22.0
1951,7,19,22.4
1951,7,20,23.5
1951,7,21,25.0
1951,7,22,25.9
1951,7,23,24.7
1951,7,24,25.2
1951,7,25,25.4
1951,7,26,25.1
1951,7,27,25.1
1951,7,28,24.3
1951,7,29,24.7
1951,7,30,24.8
1951,7,31,23.0
1951,8,1,24.4
1951,8,2,23.3
1951,8,3,23.3
1951,8,4,25.0
1951,8,5,25.9
1951,8,6,25.3
1951,8,7,26.4
1951,8,8,26.4
1951,8,9,27.9
1951,8,10,25.5
1951,8,11,25.4
1951,8,12,26.4
1951,8,13,25.9
1951,8,14,25.2
1951,8,15,26.1
1951,8,16,26.2
1951,8,17,27.1
1951,8,18,27.1
1951,8,19,28.1
1951,8,20,28.1
1951,8,21,27.2
1951,8,22,28.7
1951,8,23,27.0
1951,8,24,27.8
1951,8,25,26.1
1951,8,26,24.5
1951,8,27,23.6
1951,8,28,23.7
1951,8,29,19.9
1951,8,30,21.5
1951,8,31,23.5
1951,9,1,24.4
1951,9,2,23.6
1951,9,3,22.1
1951,9,4,20.2
1951,9,5,20.2
1951,9,6,19.3
1951,9,7,19.3
1951,9,8,18.7
1951,9,9,18.7
1951,9,10,20.7
1951,9,11,18.5
1951,9,12,18.7
1951,9,13,18.9
1951,9,14,17.3
1951,9,15,20.2
1951,9,16,18.8
1951,9,17,20.5
1951,9,18,18.2
1951,9,19,19.3
1951,9,20,18.0
1951,9,21,16.2
1951,9,22,15.5
1951,9,23,17.6
1951,9,24,15.5
1951,9,25,17.6
1951,9,26,16.3
1951,9,27,15.0
1951,9,28,14.4
1951,9,29,16.4
1951,9,30,18.5
1951,10,1,18.5
1951,10,2,19.5
1951,10,3,16.1
1951,10,4,14.1
1951,10,5,17.0
1951,10,6,15.7
1951,10,7,14.0
1951,10,8,16.7
1951,10,9,18.5
1951,10,10,17.8
1951,10,11,15.9
1951,10,12,17.9
1951,10,13,14.8
1951,10,14,14.7
1951,10,15,19.3
1951,10,16,16.0
1951,10,17,14.9
1951,10,18,14.5
1951,10,19,16.6
1951,10,20,14.6
1951,10,21,11.6
1951,10,22,9.9
1951,10,23,9.1
1951,10,24,16.0
1951,10,25,13.4
1951,10,26,13.0
1951,10,27,11.0
1951,10,28,9.7
1951,10,29,11.1
1951,10,30,11.3
1951,10,31,9.0
1951,11,1,12.4
1951,11,2,14.0
1951,11,3,14.0
1951,11,4,13.7
1951,11,5,7.6
1951,11,6,6.5
1951,11,7,11.9
1951,11,8,9.9
1951,11,9,8.9
1951,11,10,7.9
1951,11,11,8.0
1951,11,12,9.8
1951,11,13,9.0
1951,11,14,9.0
1951,11,15,9.8
1951,11,16,11.4
1951,11,17,9.4
1951,11,18,7.7
1951,11,19,7.9
1951,11,20,7.3
1951,11,21,8.3
1951,11,22,8.9
1951,11,23,10.2
1951,11,24,8.6
1951,11,25,7.6
1951,11,26,7.0
1951,11,27,2.1
1951,11,28,0.6
1951,11,29,3.8
1951,11,30,4.0
1951,12,1,4.2
1951,12,2,4.9
1951,12,3,5.1
1951,12,4,4.3
1951,12,5,5.3
1951,12,6,5.1
1951,12,7,3.9
1951,12,8,7.0
1951,12,9,7.8
1951,12,10,6.0
1951,12,11,7.3
1951,12,12,5.9
1951,12,13,7.0
1951,12,14,4.9
1951,12,15,2.5
1951,12,16,0.5
1951,12,17,5.2
1951,12,18,8.9
1951,12,19,9.7
1951,12,20,9.9
1951,12,21,10.3
1951,12,22,9.6
1951,12,23,9.2
1951,12,24,4.2
1951,12,25,6.3
1951,12,26,6.9
1951,12,27,4.1
1951,12,28,1.1
1951,12,29,0.0
1951,12,30,1.8
1951,12,31,2.6
1952,1,1,5.5
1952,1,2,2.6
1952,1,3,2.3
1952,1,4,4.4
1952,1,5,2.8
1952,1,6,-0.4
1952,1,7,1.6
1952,1,8,0.3
1952,1,9,-0.8
1952,1,10,0.6
1952,1,11,-0.3
1952,1,12,-2.3
1952,1,13,-0.3
1952,1,14,-0.2
1952,1,15,2.7
1952,1,16,0.2
1952,1,17,1.0
1952,1,18,-2.7
1952,1,19,0.1
1952,1,20,1.8
1952,1,21,2.4
1952,1,22,2.7
1952,1,23,1.6
1952,1,24,0.2
1952,1,25,0.7
1952,1,26,-3.0
1952,1,27,0.4
1952,1,28,1.9
1952,1,29,6.5
1952,1,30,2.9
1952,1,31,-0.7
1952,2,1,-1.1
1952,2,2,-2.0
1952,2,3,-3.2
1952,2,4,-3.3
1952,2,5,-4.6
1952,2,6,-1.8
1952,2,7,-3.6
1952,2,8,1.1
1952,2,9,2.5
1952,2,10,-0.4
1952,2,11,-1.9
1952,2,12,-1.2
1952,2,13,-0.4
1952,2,14,0.1
1952,2,15,-0.2
1952,2,16,-0.5
1952,2,17,-0.6
1952,2,18,-1.5
1952,2,19,-1.7
1952,2,20,0.3
1952,2,21,1.2
1952,2,22,0.3
1952,2,23,-2.3
1952,2,24,-1.4
1952,2,25,-0.5
1952,2,26,-2.2
1952,2,27,1.0
1952,2,28,0.3
1952,2,29,0.3
1952,3,1,0.8
1952,3,2,3.0
1952,3,3,2.0
1952,3,4,-1.5
1952,3,5,-0.4
1952,3,6,-1.9
1952,3,7,-0.3
1952,3,8,2.7
1952,3,9,4.1
1952,3,10,3.6
1952,3,11,1.3
1952,3,12,3.5
1952,3,13,3.5
1952,3,14,3.7
1952,3,15,5.0
1952,3,16,6.9
1952,3,17,3.6
1952,3,18,3.9
1952,3,19,5.7
1952,3,20,1.7
1952,3,21,2.7
1952,3,22,6.5
1952,3,23,6.0
1952,3,24,3.8
1952,3,25,4.7
1952,3,26,5.2
1952,3,27,4.5
1952,3,28,6.3
1952,3,29,5.6
1952,3,30,6.1
1952,3,31,4.6
1952,4,1,3.8
1952,4,2,3.6
1952,4,3,4.2
1952,4,4,5.8
1952,4,5,7.8
1952,4,6,7.5
1952,4,7,10.5
1952,4,8,10.1
1952,4,9,12.5
1952,4,10,8.3
1952,4,11,10.9
1952,4,12,14.2
1952,4,13,10.2
1952,4,14,8.3
1952,4,15,8.6
1952,4,16,7.7
1952,4,17,13.4
1952,4,18,9.8
1952,4,19,9.4
1952,4,20,9.4
1952,4,21,8.3
1952,4,22,7.1
1952,4,23,6.7
1952,4,24,5.8
1952,4,25,7.7
1952,4,26,6.2
1952,4,27,7.5
1952,4,28,11.1
1952,4,29,12.7
1952,4,30,12.0
1952,5,1,9.9
1952,5,2,10.3
1952,5,3,13.4
1952,5,4,14.7
1952,5,5,11.6
1952,5,6,9.2
1952,5,7,13.6
1952,5,8,11.1
1952,5,9,9.5
1952,5,10,13.7
1952,5,11,13.6
1952,5,12,12.6
1952,5,13,8.6
1952,5,14,14.6
1952,5,15,10.9
1952,5,16,9.6
1952,5,17,9.9
1952,5,18,14.2
1952,5,19,16.7
1952,5,20,17.7
1952,5,21,14.1
1952,5,22,13.4
1952,5,23,13.8
1952,5,24,12.7
1952,5,25,13.4
1952,5,26,14.0
1952,5,27,17.0
1952,5,28,16.8
1952,5,29,15.3
1952,5,30,17.8
1952,5,31,15.6
1952,6,1,14.4
1952,6,2,14.5
1952,6,3,15.2
1952,6,4,18.1
1952,6,5,18.3
1952,6,6,18.3
1952,6,7,16.4
1952,6,8,15.5
1952,6,9,19.4
1952,6,10,17.6
1952,6,11,18.2
1952,6,12,16.3
1952,6,13,17.7
1952,6,14,18.6
1952,6,15,18.8
1952,6,16,17.0
1952,6,17,18.9
1952,6,18,20.5
1952,6,19,20.9
1952,6,20,21.1
1952,6,21,19.0
1952,6,22,18.1
1952,6,23,19.6
1952,6,24,19.0
1952,6,25,20.3
1952,6,26,20.8
1952,6,27,21.2
1952,6,28,21.7
1952,6,29,23.6
1952,6,30,21.3
1952,7,1,21.3
1952,7,2,22.0
1952,7,3,19.9
1952,7,4,18.9
1952,7,5,18.6
1952,7,6,19.6
1952,7,7,21.1
1952,7,8,21.2
1952,7,9,22.7
1952,7,10,22.8
1952,7,11,23.8
1952,7,12,23.7
1952,7,13,22.7
1952,7,14,22.9
1952,7,15,23.3
1952,7,16,24.3
1952,7,17,22.8
1952,7,18,23.3
1952,7,19,23.8
1952,7,20,23.2
1952,7,21,23.8
1952,7,22,24.8
1952,7,23,24.3
1952,7,24,23.9
1952,7,25,25.0
1952,7,26,25.4
1952,7,27,23.3
1952,7,28,23.9
1952,7,29,21.4
1952,7,30,22.4
1952,7,31,21.8
1952,8,1,24.2
1952,8,2,25.1
1952,8,3,26.9
1952,8,4,25.6
1952,8,5,24.6
1952,8,6,22.7
1952,8,7,23.8
1952,8,8,24.4
1952,8,9,24.8
1952,8,10,24.2
1952,8,11,23.1
1952,8,12,23.1
1952,8,13,23.6
1952,8,14,23.8
1952,8,15,22.7
1952,8,16,24.4
1952,8,17,23.5
1952,8,18,22.6
1952,8,19,25.8
1952,8,20,25.1
1952,8,21,23.3
1952,8,22,21.7
1952,8,23,20.8
1952,8,24,22.2
1952,8,25,25.5
1952,8,26,24.9
1952,8,27,26.2
1952,8,28,24.2
1952,8,29,21.9
1952,8,30,21.6
1952,8,31,24.5
1952,9,1,25.2
1952,9,2,23.5
1952,9,3,21.9
1952,9,4,22.6
1952,9,5,21.9
1952,9,6,21.5
1952,9,7,20.4
1952,9,8,21.8
1952,9,9,20.8
1952,9,10,18.1
1952,9,11,20.2
1952,9,12,23.7
1952,9,13,21.3
1952,9,14,18.3
1952,9,15,19.4
1952,9,16,20.5
1952,9,17,20.6
1952,9,18,19.7
1952,9,19,16.4
1952,9,20,16.7
1952,9,21,16.6
1952,9,22,18.6
1952,9,23,15.4
1952,9,24,16.7
1952,9,25,21.0
1952,9,26,17.9
1952,9,27,16.9
1952,9,28,17.7
1952,9,29,18.2
1952,9,30,14.7
1952,10,1,15.2
1952,10,2,14.5
1952,10,3,17.3
1952,10,4,16.7
1952,10,5,14.3
1952,10,6,14.0
1952,10,7,16.7
1952,10,8,20.2
1952,10,9,19.0
1952,10,10,18.5
1952,10,11,17.0
1952,10,12,12.7
1952,10,13,13.3
1952,10,14,16.1
1952,10,15,18.6
1952,10,16,17.2
1952,10,17,13.5
1952,10,18,11.4
1952,10,19,13.4
1952,10,20,12.5
1952,10,21,13.6
1952,10,22,13.5
1952,10,23,10.3
1952,10,24,11.2
1952,10,25,10.2
1952,10,26,8.6
1952,10,27,9.5
1952,10,28,13.6
1952,10,29,12.4
1952,10,30,10.2
1952,10,31,11.6
1952,11,1,10.9
1952,11,2,9.0
1952,11,3,9.0
1952,11,4,11.9
1952,11,5,12.7
1952,11,6,11.2
1952,11,7,11.6
1952,11,8,9.3
1952,11,9,8.1
1952,11,10,8.8
1952,11,11,12.7
1952,11,12,9.0
1952,11,13,3.6
1952,11,14,5.4
1952,11,15,5.8
1952,11,16,6.6
1952,11,17,10.0
1952,11,18,7.2
1952,11,19,3.1
1952,11,20,6.0
1952,11,21,9.9
1952,11,22,8.3
1952,11,23,5.6
1952,11,24,5.8
1952,11,25,7.8
1952,11,26,6.0
1952,11,27,7.0
1952,11,28,9.1
1952,11,29,7.8
1952,11,30,7.9
1952,12,1,4.4
1952,12,2,6.0
1952,12,3,1.2
1952,12,4,1.5
1952,12,5,0.5
1952,12,6,2.7
1952,12,7,2.5
1952,12,8,3.2
1952,12,9,2.5
1952,12,10,1.6
1952,12,11,4.2
1952,12,12,5.7
1952,12,13,7.2
1952,12,14,5.8
1952,12,15,8.5
1952,12,16,4.2
1952,12,17,4.8
1952,12,18,2.7
1952,12,19,1.5
1952,12,20,-0.8
1952,12,21,2.9
1952,12,22,0.9
1952,12,23,0.9
1952,12,24,1.4
1952,12,25,1.0
1952,12,26,-0.5
1952,12,27,-0.4
1952,12,28,-1.4
1952,12,29,-0.6
1952,12,30,3.0
1952,12,31,1.9
1953,1,1,0.4
1953,1,2,-1.2
1953,1,3,-1.9
1953,1,4,-0.3
1953,1,5,0.3
1953,1,6,1.9
1953,1,7,0.0
1953,1,8,-2.3
1953,1,9,1.9
1953,1,10,6.2
1953,1,11,3.0
1953,1,12,4.3
1953,1,13,-0.4
1953,1,14,-0.8
1953,1,15,0.7
1953,1,16,1.2
1953,1,17,1.5
1953,1,18,0.3
1953,1,19,2.2
1953,1,20,2.1
1953,1,21,1.4
1953,1,22,1.3
1953,1,23,0.2
1953,1,24,1.3
1953,1,25,3.1
1953,1,26,0.3
1953,1,27,-0.1
1953,1,28,-0.5
1953,1,29,1.6
1953,1,30,-0.6
1953,1,31,-2.0
1953,2,1,-2.3
1953,2,2,-2.2
1953,2,3,-1.6
1953,2,4,-0.6
1953,2,5,-1.9
1953,2,6,-1.2
1953,2,7,-0.5
1953,2,8,-2.5
1953,2,9,-0.7
1953,2,10,1.1
1953,2,11,3.9
1953,2,12,2.7
1953,2,13,0.2
1953,2,14,0.1
1953,2,15,-2.1
1953,2,16,-2.0
1953,2,17,-0.5
1953,2,18,-2.7
1953,2,19,-3.1
1953,2,20,-2.1
1953,2,21,-1.5
1953,2,22,-2.6
1953,2,23,0.2
1953,2,24,4.2
1953,2,25,2.1
1953,2,26,0.4
1953,2,27,2.5
1953,2,28,4.9
1953,3,1,5.8
1953,3,2,4.8
1953,3,3,4.1
1953,3,4,2.6
1953,3,5,1.6
1953,3,6,1.4
1953,3,7,5.8
1953,3,8,5.1
1953,3,9,4.8
1953,3,10,5.3
1953,3,11,6.4
1953,3,12,4.1
1953,3,13,3.5
1953,3,14,4.2
1953,3,15,3.8
1953,3,16,3.4
1953,3,17,2.3
1953,3,18,3.3
1953,3,19,6.0
1953,3,20,8.0
1953,3,21,6.4
1953,3,22,5.3
1953,3,23,7.1
1953,3,24,8.3
1953,3,25,8.5
1953,3,26,6.1
1953,3,27,4.2
1953,3,28,4.9
1953,3,29,3.3
1953,3,30,5.2
1953,3,31,5.3
1953,4,1,5.0
1953,4,2,7.6
1953,4,3,9.5
1953,4,4,8.5
1953,4,5,8.7
1953,4,6,8.6
1953,4,7,8.3
1953,4,8,9.7
1953,4,9,10.1
1953,4,10,11.5
1953,4,11,11.7
1953,4,12,7.2
1953,4,13,4.9
1953,4,14,6.3
1953,4,15,8.5
1953,4,16,7.2
1953,4,17,6.9
1953,4,18,8.0
1953,4,19,6.1
1953,4,20,6.7
1953,4,21,9.2
1953,4,22,8.0
1953,4,23,7.7
1953,4,24,6.6
1953,4,25,8.2
1953,4,26,12.4
1953,4,27,12.9
1953,4,28,14.5
