ダウンロードした時刻：2025/07/30 16:40:21

,,酒田,酒田,酒田,にかほ,にかほ,にかほ,飛島,飛島,飛島,札幌,札幌,札幌,山形,山形,山形
年,月,日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1995,5,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1995,6,0,8,1,0,4,1,0,8,1,0,8,1,0,8,1
1995,7,0,8,1,0,8,1,0,8,1,0,8,1,3,8,1
1995,8,0,8,1,0,8,1,0,8,1,0,8,1,1,8,1
1995,9,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1996,5,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1996,6,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1996,7,0,8,1,0,8,1,0,8,1,0,8,1,1,8,1
1996,8,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1996,9,0,8,1,0,5,1,0,8,1,0,8,1,0,8,1
1997,5,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1997,6,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1997,7,1,8,1,1,8,1,0,8,1,0,8,1,1,8,1
1997,8,1,8,1,0,8,1,0,8,1,0,8,1,3,8,1
1997,9,0,8,1,0,5,1,0,8,1,0,8,1,0,8,1
1998,5,0,8,1,0,8,1,0,8,1,0,8,1,0,5,1
1998,6,0,8,1,0,5,1,0,8,1,0,8,1,0,8,1
1998,7,2,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1998,8,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1998,9,0,8,1,0,8,1,0,8,1,0,5,1,0,8,1
1999,5,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1999,6,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
1999,7,0,8,1,0,8,1,0,5,1,0,8,1,5,8,1
1999,8,10,8,1,0,8,1,0,8,1,1,8,1,9,8,1
1999,9,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
2000,5,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
2000,6,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
2000,7,2,8,1,0,8,1,0,8,1,1,8,1,4,8,1
2000,8,2,8,1,0,8,1,0,8,1,1,8,1,2,8,1
2000,9,0,8,1,0,8,1,0,5,1,0,8,1,0,8,1
2001,5,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
2001,6,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
2001,7,0,8,1,0,8,1,0,8,1,0,8,1,2,8,1
2001,8,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
2001,9,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
