ダウンロードした時刻：2019/08/12 21:03:28

,,,酒田,酒田,酒田
年,月,日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,,,
,,,,,
1990,9,11,22.2,25.4,19.2
1990,9,12,23.8,27.7,22.1
1990,9,13,22.9,25.6,19.8
1990,9,14,22.2,28.1,17.6
1990,9,15,22.2,23.6,20.5
1990,9,16,22.5,26.1,19.1
1990,9,17,24.3,29.1,21.1
1990,9,18,23.6,27.3,21.0
1990,9,19,22.8,26.4,20.6
1990,9,20,20.5,23.4,17.8
1990,9,21,19.4,23.6,14.2
1990,9,22,20.0,25.4,15.0
1990,9,23,21.5,26.3,15.8
1990,9,24,22.8,27.1,19.7
1990,9,25,20.4,22.3,17.8
1990,9,26,19.0,22.9,15.4
1990,9,27,19.3,24.2,15.3
1990,9,28,20.4,25.1,17.1
1990,9,29,19.1,24.0,15.0
1990,9,30,20.2,24.9,14.9
1991,7,1,22.2,25.9,18.8
1991,7,2,20.3,23.7,17.9
1991,7,3,21.7,25.2,18.3
1991,7,4,22.0,25.8,16.6
1991,7,5,21.3,22.7,20.5
1991,7,6,21.9,24.7,18.1
1991,7,7,22.6,27.5,16.5
1991,7,8,21.5,23.8,20.1
1991,7,9,21.7,24.4,19.8
1991,7,10,20.8,24.2,18.2
1991,7,11,21.8,23.8,20.6
1991,7,12,21.4,23.0,20.4
1991,7,13,20.4,22.9,18.5
1991,7,14,21.3,25.1,17.4
1991,7,15,22.9,27.2,19.1
1991,7,16,22.0,23.5,21.1
1991,7,17,21.8,23.5,20.7
1991,7,18,21.6,24.0,19.4
1991,7,19,20.9,23.2,19.0
1991,7,20,19.9,22.0,18.8
1991,7,21,23.8,28.2,21.1
1991,7,22,23.2,26.2,21.7
1991,7,23,26.6,32.0,21.8
1991,7,24,25.3,28.0,23.5
1991,7,25,24.8,27.0,23.2
1991,7,26,25.6,33.1,22.0
1991,7,27,24.0,27.0,21.6
1991,7,28,24.5,27.4,21.7
1991,7,29,26.2,30.9,22.0
1991,7,30,26.0,30.0,23.6
1991,7,31,25.9,28.3,23.6
1991,8,1,25.5,28.4,24.4
1991,8,2,24.2,26.8,22.3
1991,8,3,23.2,24.7,21.8
1991,8,4,21.4,24.5,20.0
1991,8,5,21.5,26.1,18.5
1991,8,6,22.2,26.9,17.9
1991,8,7,22.1,25.3,20.2
1991,8,8,21.3,23.7,20.6
1991,8,9,23.0,26.4,20.4
1991,8,10,24.0,27.9,19.4
1991,8,11,23.4,28.4,20.5
1991,8,12,23.6,27.1,19.8
1991,8,13,22.7,26.7,18.5
1991,8,14,23.0,27.0,18.5
1991,8,15,22.9,27.0,18.8
1991,8,16,23.7,27.8,19.3
1991,8,17,24.1,30.0,19.1
1991,8,18,25.6,31.2,20.7
1991,8,19,28.0,33.4,23.0
1991,8,20,27.8,33.4,24.2
1991,8,21,27.8,32.2,24.2
1991,8,22,25.8,29.2,24.5
1991,8,23,25.3,28.3,23.7
1991,8,24,24.3,28.9,20.6
1991,8,25,24.2,30.3,17.8
1991,8,26,22.8,26.9,19.6
1991,8,27,19.8,24.3,14.6
1991,8,28,20.1,25.3,13.4
1991,8,29,21.8,27.6,16.2
1991,8,30,27.2,34.9,21.9
1991,8,31,23.9,24.9,22.8
1991,9,1,23.8,26.8,19.7
1991,9,2,23.2,27.9,18.1
1991,9,3,24.8,28.8,20.5
1991,9,4,24.6,27.8,22.2
1991,9,5,26.4,32.6,21.4
1991,9,6,26.9,31.8,23.8
1991,9,7,23.3,27.6,20.8
1991,9,8,24.1,29.1,20.4
1991,9,9,24.9,29.2,22.1
1991,9,10,22.7,26.2,18.6
1991,9,11,20.9,24.2,17.6
1991,9,12,19.7,22.8,17.8
1991,9,13,19.7,22.1,17.4
1991,9,14,19.8,23.1,18.2
1991,9,15,20.4,24.3,17.5
1991,9,16,18.7,22.5,14.4
1991,9,17,17.3,21.8,12.3
1991,9,18,20.4,24.3,15.0
1991,9,19,19.9,21.3,18.4
1991,9,20,19.2,22.2,17.4
1991,9,21,20.2,24.4,16.8
1991,9,22,20.5,24.4,17.3
1991,9,23,19.8,23.4,16.0
1991,9,24,18.8,23.8,14.9
1991,9,25,18.2,23.6,13.9
1991,9,26,18.3,22.0,14.4
1991,9,27,22.7,27.9,18.0
1991,9,28,22.7,33.0,17.9
1991,9,29,17.6,21.5,11.4
1991,9,30,15.9,21.2,9.7
1992,7,1,19.2,22.8,16.5
1992,7,2,21.5,27.3,16.1
1992,7,3,21.6,25.5,17.3
1992,7,4,21.9,24.7,18.7
1992,7,5,21.7,25.7,17.5
1992,7,6,21.8,25.2,18.5
1992,7,7,22.5,25.8,20.9
1992,7,8,22.0,24.5,20.1
1992,7,9,22.1,25.6,18.7
1992,7,10,22.2,25.2,17.9
1992,7,11,21.2,26.1,17.1
1992,7,12,22.0,26.2,18.2
1992,7,13,22.4,26.0,19.3
1992,7,14,22.0,26.1,18.9
1992,7,15,22.7,26.0,19.8
1992,7,16,22.6,26.2,19.8
1992,7,17,23.5,28.7,18.8
1992,7,18,21.6,24.0,19.9
1992,7,19,22.7,25.7,21.1
1992,7,20,24.4,28.1,21.5
1992,7,21,24.8,29.3,22.2
1992,7,22,25.4,27.9,23.9
1992,7,23,25.5,29.2,23.4
1992,7,24,23.7,26.3,20.8
1992,7,25,23.2,28.2,18.9
1992,7,26,25.4,30.3,21.6
1992,7,27,26.0,29.7,23.7
1992,7,28,25.7,28.8,23.3
1992,7,29,25.8,28.9,23.8
1992,7,30,27.3,30.7,23.4
1992,7,31,24.5,29.4,21.2
1992,8,1,21.9,24.2,19.7
1992,8,2,22.1,26.0,18.4
1992,8,3,21.1,23.5,18.2
1992,8,4,21.2,25.0,18.4
1992,8,5,25.1,31.7,18.4
1992,8,6,26.4,31.1,23.1
1992,8,7,26.8,31.4,22.7
1992,8,8,26.4,30.5,22.9
1992,8,9,24.1,26.9,22.3
1992,8,10,22.1,24.8,17.0
1992,8,11,21.9,26.7,15.5
1992,8,12,23.3,27.2,21.3
1992,8,13,22.9,26.9,21.1
1992,8,14,25.2,30.4,20.2
1992,8,15,27.3,32.5,23.7
1992,8,16,28.0,33.6,24.1
1992,8,17,28.4,34.1,24.2
1992,8,18,28.1,33.6,23.6
1992,8,19,27.4,32.7,23.8
1992,8,20,24.9,27.2,23.5
1992,8,21,22.2,23.7,20.9
1992,8,22,24.8,29.1,21.4
1992,8,23,26.3,30.2,21.9
1992,8,24,26.5,31.6,23.7
1992,8,25,27.8,33.9,23.7
1992,8,26,24.4,27.2,22.8
1992,8,27,26.3,32.3,22.6
1992,8,28,26.1,30.6,23.0
1992,8,29,25.6,30.3,21.5
1992,8,30,26.1,31.5,21.8
1992,8,31,26.0,30.5,21.9
1992,9,1,26.8,32.0,22.4
1992,9,2,26.5,30.7,23.4
1992,9,3,25.3,27.8,23.2
1992,9,4,24.4,28.1,20.6
1992,9,5,22.8,25.1,19.5
1992,9,6,19.9,23.8,17.8
1992,9,7,20.5,24.9,16.9
1992,9,8,22.4,28.3,17.9
1992,9,9,20.6,21.5,20.0
1992,9,10,21.4,24.8,19.7
1992,9,11,20.8,23.9,17.6
1992,9,12,20.3,24.5,14.3
1992,9,13,19.3,25.0,14.3
1992,9,14,21.2,27.2,15.6
1992,9,15,19.5,22.4,17.4
1992,9,16,20.9,25.1,16.4
1992,9,17,19.1,24.1,14.5
1992,9,18,16.7,20.5,12.4
1992,9,19,18.9,24.2,14.6
1992,9,20,17.5,21.0,12.9
1992,9,21,15.7,21.1,11.4
1992,9,22,16.5,22.9,10.0
1992,9,23,19.1,26.0,12.7
1992,9,24,21.8,28.3,16.1
1992,9,25,21.2,28.3,19.0
1992,9,26,19.2,21.6,16.8
1992,9,27,16.2,19.5,13.6
1992,9,28,15.2,19.1,11.3
1992,9,29,16.6,20.3,11.0
1992,9,30,17.9,21.3,13.5
1993,7,1,17.8,22.4,13.0
1993,7,2,20.5,26.3,13.0
1993,7,3,18.5,20.2,16.7
1993,7,4,19.6,24.0,14.7
1993,7,5,19.3,21.4,16.0
1993,7,6,20.1,25.4,14.3
1993,7,7,22.0,28.4,17.5
1993,7,8,23.2,29.3,17.7
1993,7,9,20.3,22.3,18.1
1993,7,10,18.4,20.6,16.7
1993,7,11,21.3,24.2,18.5
1993,7,12,21.6,23.4,20.5
1993,7,13,21.6,24.8,20.3
1993,7,14,20.2,22.2,19.0
1993,7,15,21.6,24.6,19.1
1993,7,16,19.9,21.4,18.9
1993,7,17,21.4,24.2,19.1
1993,7,18,19.6,20.9,18.5
1993,7,19,19.7,23.7,17.6
1993,7,20,20.2,24.3,17.3
1993,7,21,21.0,26.2,16.8
1993,7,22,21.7,27.7,16.2
1993,7,23,21.7,26.4,17.4
1993,7,24,22.8,28.1,18.8
1993,7,25,25.5,30.6,21.3
1993,7,26,23.6,24.6,22.7
1993,7,27,24.3,27.9,21.4
1993,7,28,23.2,25.4,21.7
1993,7,29,22.0,24.6,20.0
1993,7,30,23.9,28.3,20.8
1993,7,31,22.4,24.5,20.8
1993,8,1,20.0,21.7,18.6
1993,8,2,21.3,25.3,18.1
1993,8,3,20.7,24.1,17.8
1993,8,4,22.0,27.6,17.0
1993,8,5,22.0,25.9,19.0
1993,8,6,20.8,24.0,19.1
1993,8,7,22.1,26.5,19.1
1993,8,8,23.0,28.1,19.0
1993,8,9,20.6,23.8,18.6
1993,8,10,22.5,25.9,19.4
1993,8,11,23.0,26.8,20.0
1993,8,12,20.5,23.0,18.8
1993,8,13,21.8,24.7,19.2
1993,8,14,22.1,25.4,20.6
1993,8,15,21.3,24.4,18.8
1993,8,16,20.6,23.8,17.7
1993,8,17,20.5,22.2,19.0
