ダウンロードした時刻：2025/08/07 18:17:48

,,,酒田,酒田,酒田,山形,山形,山形,飛島,飛島,飛島
年,月,日,最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2008,12,1,2.3,8,1,-0.2,8,1,4.6,8,1
2008,12,2,2.1,8,1,-2.0,8,1,6.0,8,1
2008,12,3,4.4,8,1,-0.4,8,1,7.7,8,1
2008,12,4,3.2,8,1,1.3,8,1,6.8,8,1
2008,12,5,6.2,8,1,1.5,8,1,6.1,8,1
2008,12,6,-0.2,8,1,-1.5,8,1,-0.9,8,1
2008,12,7,0.2,8,1,-2.0,8,1,-0.5,8,1
2008,12,8,1.3,8,1,-3.5,8,1,4.9,8,1
2008,12,9,3.7,8,1,-0.7,8,1,9.8,8,1
2008,12,10,6.2,8,1,1.8,8,1,8.2,8,1
2008,12,11,7.4,8,1,1.1,8,1,6.5,8,1
2008,12,12,5.0,8,1,0.8,8,1,3.7,8,1
2008,12,13,3.3,8,1,0.7,8,1,2.7,8,1
2008,12,14,1.2,8,1,-0.9,8,1,2.2,8,1
2008,12,15,1.2,8,1,-2.2,8,1,1.4,8,1
2008,12,16,-0.7,8,1,-0.6,8,1,2.3,8,1
2008,12,17,1.8,8,1,-2.5,8,1,6.4,8,1
2008,12,18,3.3,8,1,-0.5,8,1,3.8,8,1
2008,12,19,2.3,8,1,-0.3,8,1,3.3,8,1
2008,12,20,1.3,8,1,-2.7,8,1,6.9,8,1
2008,12,21,5.9,8,1,-0.8,8,1,4.2,8,1
2008,12,22,1.3,8,1,-1.2,8,1,1.0,8,1
2008,12,23,0.7,8,1,-1.0,8,1,0.0,8,1
2008,12,24,1.5,8,1,-0.5,8,1,1.9,8,1
2008,12,25,2.1,8,1,0.5,8,1,1.9,8,1
2008,12,26,-3.2,8,1,-4.4,8,1,-3.0,8,1
2008,12,27,-1.8,8,1,-3.4,8,1,-2.0,8,1
2008,12,28,2.1,8,1,-1.2,8,1,2.5,8,1
2008,12,29,2.0,8,1,-0.8,8,1,4.3,8,1
2008,12,30,0.5,8,1,-0.3,8,1,-0.3,8,1
2008,12,31,-0.1,8,1,-2.0,8,1,-0.4,8,1
2009,1,1,0.5,8,1,-3.4,8,1,0.7,8,1
2009,1,2,1.8,8,1,-0.4,8,1,2.1,8,1
2009,1,3,2.3,8,1,-1.1,8,1,1.9,8,1
2009,1,4,4.4,8,1,0.9,8,1,2.7,8,1
2009,1,5,3.0,8,1,-1.4,8,1,1.2,8,1
2009,1,6,2.2,8,1,-1.3,8,1,0.6,8,1
2009,1,7,0.9,8,1,-1.2,8,1,1.4,8,1
2009,1,8,-0.5,8,1,-3.0,8,1,2.2,8,1
2009,1,9,-0.8,8,1,-3.9,8,1,2.6,8,1
2009,1,10,-1.9,8,1,-3.4,8,1,-1.6,8,1
