ダウンロードした時刻：2019/02/27 17:44:22

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(cm),平年値(cm),平年値(cm)
,,,,,,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報
1971,1,21,1971,1,31,8.3,8,,0,1.0,8,1.2,8,3.4,8,3.8,8,-2.0,8,-1.4,8,-5.0,8,,0,29.5,0,8,53.7,0,8,,,1,,,1,17,0,8,22,0,8
1971,2,1,1971,2,10,4.8,8,,0,-0.9,8,1.4,8,2.6,8,4.0,8,-5.8,8,-1.4,8,-12.7,8,,0,37.5,0,8,41.7,0,8,,,1,,,1,33,0,8,22,0,8
1971,2,11,1971,2,20,7.5,8,,0,1.8,8,1.8,8,5.0,8,4.6,8,-2.1,8,-1.1,8,-8.6,8,,0,29.5,0,8,42.2,0,8,,,1,,,1,22,0,8,17,0,8
1971,2,21,1971,2,28,9.7,8,,0,2.3,8,2.6,8,6.2,8,5.9,8,-1.2,8,-0.6,8,-5.0,8,,0,31.0,0,8,30.2,0,8,,,1,,,1,0,0,8,13,0,8
1971,3,1,1971,3,10,6.9,8,,0,0.1,8,3.2,8,2.8,8,6.5,8,-2.7,8,-0.1,8,-8.0,8,,0,39.0,0,8,34.4,0,8,,,1,,,1,4,0,8,10,0,8
1971,3,11,1971,3,20,11.7,8,,0,3.2,8,4.8,8,6.4,8,8.5,8,-0.1,8,1.1,8,-3.1,8,,0,35.0,0,8,36.6,0,8,,,1,,,1,4,0,8,5,0,8
1971,3,21,1971,3,31,17.3,8,,0,6.5,8,5.9,8,11.1,8,9.9,8,1.5,8,1.9,8,-2.7,8,,0,30.5,0,8,35.7,0,8,,,1,,,1,0,1,8,2,0,8
1972,1,1,1972,1,10,10.9,8,,0,1.8,8,2.3,8,5.8,8,5.0,8,-1.7,8,-0.3,8,-3.7,8,,0,22.0,0,8,65.6,0,8,,,1,,,1,4,0,8,13,0,8
1972,1,11,1972,1,20,12.5,8,,0,5.1,8,1.5,8,7.6,8,4.1,8,1.8,8,-1.2,8,-1.3,8,,0,52.0,0,8,48.8,0,8,,,1,,,1,1,0,8,17,0,8
1972,1,21,1972,1,31,13.7,8,,0,2.2,8,1.2,8,5.2,8,3.8,8,-0.5,8,-1.4,8,-3.2,8,,0,43.0,0,8,53.7,0,8,,,1,,,1,4,0,8,22,0,8
