ダウンロードした時刻：2019/02/27 17:44:22

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(cm),平年値(cm),平年値(cm)
,,,,,,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報
1978,2,11,1978,2,20,3.4,8,,0,-1.6,8,1.8,8,1.0,8,4.6,8,-5.2,8,-1.1,8,-12.8,8,,0,21.5,0,8,42.2,0,8,,,1,,,1,35,0,8,17,0,8
1978,2,21,1978,2,28,6.8,8,,0,-0.4,8,2.6,8,2.8,8,5.9,8,-4.6,8,-0.6,8,-7.6,8,,0,25.5,0,8,30.2,0,8,,,1,,,1,41,0,8,13,0,8
1978,3,1,1978,3,10,8.1,8,,0,2.9,8,3.2,8,6.2,8,6.5,8,-0.9,8,-0.1,8,-4.3,8,,0,40.5,0,8,34.4,0,8,,,1,,,1,23,0,8,10,0,8
1978,3,11,1978,3,20,9.3,8,,0,3.0,8,4.8,8,5.8,8,8.5,8,0.2,8,1.1,8,-1.5,8,,0,21.0,0,8,36.6,0,8,,,1,,,1,2,0,8,5,0,8
1978,3,21,1978,3,31,15.2,8,,0,5.4,8,5.9,8,9.3,8,9.9,8,1.0,8,1.9,8,-1.6,8,,0,25.0,0,8,35.7,0,8,,,1,,,1,4,0,8,2,0,8
1979,1,1,1979,1,10,14.1,8,,0,5.6,8,2.3,8,9.2,8,5.0,8,1.7,8,-0.3,8,-0.7,8,,0,48.0,0,8,65.6,0,8,,,1,,,1,8,0,8,13,0,8
1979,1,11,1979,1,20,5.7,8,,0,-0.1,8,1.5,8,2.1,8,4.1,8,-2.6,8,-1.2,8,-4.6,8,,0,100.0,0,8,48.8,0,8,,,1,,,1,42,0,8,17,0,8
1979,1,21,1979,1,31,10.7,8,,0,1.9,8,1.2,8,5.5,8,3.8,8,-1.8,8,-1.4,8,-6.0,8,,0,53.0,0,8,53.7,0,8,,,1,,,1,26,0,8,22,0,8
1979,2,1,1979,2,10,10.3,8,,0,3.0,8,1.4,8,5.5,8,4.0,8,0.1,8,-1.4,8,-2.8,8,,0,56.0,0,8,41.7,0,8,,,1,,,1,1,0,8,22,0,8
1979,2,11,1979,2,20,13.4,8,,0,2.9,8,1.8,8,7.1,8,4.6,8,-0.8,8,-1.1,8,-2.9,8,,0,19.5,0,8,42.2,0,8,,,1,,,1,1,0,8,17,0,8
1979,2,21,1979,2,28,17.1,8,,0,4.8,8,2.6,8,8.5,8,5.9,8,1.4,8,-0.6,8,-0.3,8,,0,41.0,0,8,30.2,0,8,,,1,,,1,0,1,8,13,0,8
1979,3,1,1979,3,10,10.3,8,,0,3.0,8,3.2,8,6.4,8,6.5,8,-0.7,8,-0.1,8,-4.1,8,,0,66.0,0,8,34.4,0,8,,,1,,,1,14,0,8,10,0,8
1979,3,11,1979,3,20,13.9,8,,0,3.4,8,4.8,8,8.2,8,8.5,8,-0.6,8,1.1,8,-3.6,8,,0,15.0,0,8,36.6,0,8,,,1,,,1,0,0,8,5,0,8
1979,3,21,1979,3,31,16.6,8,,0,5.8,8,5.9,8,10.1,8,9.9,8,1.0,8,1.9,8,-3.9,8,,0,71.5,0,8,35.7,0,8,,,1,,,1,0,1,8,2,0,8
1980,1,1,1980,1,10,10.9,8,,0,2.1,8,2.3,8,5.2,8,5.0,8,-1.2,8,-0.3,8,-4.7,8,,0,95.5,0,8,65.6,0,8,,,1,,,1,6,0,8,13,0,8
1980,1,11,1980,1,20,5.5,8,,0,0.4,8,1.5,8,3.0,8,4.1,8,-2.5,8,-1.2,8,-8.0,8,,0,77.5,0,8,48.8,0,8,,,1,,,1,16,0,8,17,0,8
1980,1,21,1980,1,31,7.6,8,,0,1.7,8,1.2,8,4.4,8,3.8,8,-1.5,8,-1.4,8,-6.1,8,,0,39.0,0,8,53.7,0,8,,,1,,,1,22,0,8,22,0,8
1980,2,1,1980,2,10,3.2,8,,0,-0.5,8,1.4,8,1.4,8,4.0,8,-2.5,8,-1.4,8,-4.9,8,,0,100.0,0,8,41.7,0,8,,,1,,,1,55,0,8,22,0,8
1980,2,11,1980,2,20,3.6,8,,0,-1.0,8,1.8,8,1.0,8,4.6,8,-3.8,8,-1.1,8,-8.0,8,,0,33.0,0,8,42.2,0,8,,,1,,,1,68,0,8,17,0,8
1980,2,21,1980,2,29,6.5,8,,0,1.5,8,2.6,8,3.8,8,5.9,8,-1.7,8,-0.6,8,-4.8,8,,0,12.5,0,8,30.2,0,8,,,1,,,1,50,0,8,13,0,8
1980,3,1,1980,3,10,9.5,8,,0,2.7,8,3.2,8,6.5,8,6.5,8,-1.8,8,-0.1,8,-6.1,8,,0,64.0,0,8,34.4,0,8,,,1,,,1,23,0,8,10,0,8
1980,3,11,1980,3,20,7.9,8,,0,1.4,8,4.8,8,4.6,8,8.5,8,-1.6,8,1.1,8,-3.8,8,,0,16.0,0,8,36.6,0,8,,,1,,,1,2,0,8,5,0,8
1980,3,21,1980,3,31,17.6,8,,0,5.0,8,5.9,8,9.2,8,9.9,8,0.2,8,1.9,8,-3.2,8,,0,30.0,0,8,35.7,0,8,,,1,,,1,15,0,8,2,0,8
1981,1,1,1981,1,10,6.1,8,,0,2.0,8,2.3,8,3.8,8,5.0,8,-0.3,8,-0.3,8,-3.0,8,,0,73.5,0,8,65.6,0,8,,,1,,,1,11,0,8,13,0,8
1981,1,11,1981,1,20,3.5,8,,0,-1.2,8,1.5,8,1.2,8,4.1,8,-4.1,8,-1.2,8,-10.4,8,,0,65.0,0,8,48.8,0,8,,,1,,,1,44,0,8,17,0,8
1981,1,21,1981,1,31,5.0,8,,0,-0.2,8,1.2,8,1.7,8,3.8,8,-2.5,8,-1.4,8,-4.7,8,,0,33.5,0,8,53.7,0,8,,,1,,,1,42,0,8,22,0,8
1981,2,1,1981,2,10,5.2,8,,0,1.6,8,1.4,8,3.7,8,4.0,8,-1.1,8,-1.4,8,-3.3,8,,0,45.0,0,8,41.7,0,8,,,1,,,1,32,0,8,22,0,8
1981,2,11,1981,2,20,8.7,8,,0,2.4,8,1.8,8,5.7,8,4.6,8,-0.6,8,-1.1,8,-2.8,8,,0,43.0,0,8,42.2,0,8,,,1,,,1,26,0,8,17,0,8
1981,2,21,1981,2,28,4.7,8,,0,-0.9,8,2.6,8,2.1,8,5.9,8,-4.4,8,-0.6,8,-9.2,8,,0,41.5,0,8,30.2,0,8,,,1,,,1,23,0,8,13,0,8
1981,3,1,1981,3,10,7.5,8,,0,1.6,8,3.2,8,4.6,8,6.5,8,-2.5,8,-0.1,8,-5.3,8,,0,12.0,0,8,34.4,0,8,,,1,,,1,24,0,8,10,0,8
1981,3,11,1981,3,20,15.0,8,,0,4.9,8,4.8,8,9.7,8,8.5,8,0.0,8,1.1,8,-4.3,8,,0,42.0,0,8,36.6,0,8,,,1,,,1,2,0,8,5,0,8
1981,3,21,1981,3,31,12.9,8,,0,5.2,8,5.9,8,9.4,8,9.9,8,1.4,8,1.9,8,-3.1,8,,0,26.0,0,8,35.7,0,8,,,1,,,1,0,0,8,2,0,8
1982,1,1,1982,1,10,9.3,8,,0,1.6,8,2.3,8,4.3,8,5.0,8,-1.7,8,-0.3,8,-6.2,8,,0,55.0,0,8,65.6,0,8,,,1,,,1,14,0,8,13,0,8
1982,1,11,1982,1,20,9.0,8,,0,-0.2,8,1.5,8,2.7,8,4.1,8,-3.6,8,-1.2,8,-8.2,8,,0,84.0,0,8,48.8,0,8,,,1,,,1,58,0,8,17,0,8
1982,1,21,1982,1,31,6.9,8,,0,1.5,8,1.2,8,3.8,8,3.8,8,-1.0,8,-1.4,8,-3.8,8,,0,36.5,0,8,53.7,0,8,,,1,,,1,41,0,8,22,0,8
1982,2,1,1982,2,10,5.4,8,,0,-1.4,8,1.4,8,0.6,8,4.0,8,-3.5,8,-1.4,8,-5.1,8,,0,27.0,0,8,41.7,0,8,,,1,,,1,33,0,8,22,0,8
1982,2,11,1982,2,20,6.8,8,,0,0.9,8,1.8,8,3.7,8,4.6,8,-3.7,8,-1.1,8,-9.3,8,,0,26.0,0,8,42.2,0,8,,,1,,,1,40,0,8,17,0,8
1982,2,21,1982,2,28,10.4,8,,0,2.1,8,2.6,8,4.8,8,5.9,8,-0.9,8,-0.6,8,-3.1,8,,0,17.5,0,8,30.2,0,8,,,1,,,1,18,0,8,13,0,8
1982,3,1,1982,3,10,10.8,8,,0,2.9,8,3.2,8,6.1,8,6.5,8,-0.2,8,-0.1,8,-3.5,8,,0,46.5,0,8,34.4,0,8,,,1,,,1,4,0,8,10,0,8
1982,3,11,1982,3,20,13.8,8,,0,5.4,8,4.8,8,9.7,8,8.5,8,0.8,8,1.1,8,-2.2,8,,0,15.0,0,8,36.6,0,8,,,1,,,1,0,0,8,5,0,8
1982,3,21,1982,3,31,17.9,8,,0,5.3,8,5.9,8,9.2,8,9.9,8,0.8,8,1.9,8,-1.1,8,,0,40.5,0,8,35.7,0,8,,,1,,,1,7,0,8,2,0,8
1983,1,1,1983,1,10,12.4,8,,0,2.1,8,2.3,8,5.1,8,5.0,8,-0.6,8,-0.3,8,-2.9,8,,0,26.0,0,8,65.6,0,8,,,1,,,1,2,0,8,13,0,8
1983,1,11,1983,1,20,4.9,8,,0,1.5,8,1.5,8,3.3,8,4.1,8,-1.0,8,-1.2,8,-3.3,8,,0,20.0,0,8,48.8,0,8,,,1,,,1,8,0,8,17,0,8
1983,1,21,1983,1,31,12.2,8,,0,3.1,8,1.2,8,5.6,8,3.8,8,0.5,8,-1.4,8,-3.5,8,,0,57.0,0,8,53.7,0,8,,,1,,,1,20,0,8,22,0,8
1983,2,1,1983,2,10,8.4,8,,0,1.6,8,1.4,8,4.2,8,4.0,8,-1.1,8,-1.4,8,-3.5,8,,0,46.5,0,8,41.7,0,8,,,1,,,1,23,0,8,22,0,8
1983,2,11,1983,2,20,6.7,8,,0,-0.8,8,1.8,8,1.7,8,4.6,8,-4.4,8,-1.1,8,-9.4,8,,0,74.5,0,8,42.2,0,8,,,1,,,1,34,0,8,17,0,8
1983,2,21,1983,2,28,7.2,8,,0,0.3,8,2.6,8,3.2,8,5.9,8,-2.9,8,-0.6,8,-5.7,8,,0,24.5,0,8,30.2,0,8,,,1,,,1,28,0,8,13,0,8
1983,3,1,1983,3,10,9.3,8,,0,2.3,8,3.2,8,5.3,8,6.5,8,-0.7,8,-0.1,8,-3.1,8,,0,50.0,0,8,34.4,0,8,,,1,,,1,17,0,8,10,0,8
1983,3,11,1983,3,20,11.1,8,,0,3.1,8,4.8,8,6.9,8,8.5,8,-0.6,8,1.1,8,-2.5,8,,0,79.0,0,8,36.6,0,8,,,1,,,1,5,0,8,5,0,8
1983,3,21,1983,3,31,14.4,8,,0,6.2,8,5.9,8,11.0,8,9.9,8,1.0,8,1.9,8,-1.0,8,,0,8.0,0,8,35.7,0,8,,,1,,,1,0,1,8,2,0,8
1984,1,1,1984,1,10,4.7,8,,0,0.5,8,2.3,8,2.7,8,5.0,8,-2.0,8,-0.3,8,-4.2,8,,0,47.5,0,8,65.6,0,8,,,1,,,1,30,0,8,13,0,8
1984,1,11,1984,1,20,5.6,8,,0,-1.6,8,1.5,8,0.8,8,4.1,8,-3.9,8,-1.2,8,-6.3,8,,0,41.0,0,8,48.8,0,8,,,1,,,1,33,0,8,17,0,8
1984,1,21,1984,1,31,3.8,8,,0,-0.5,8,1.2,8,1.6,8,3.8,8,-3.0,8,-1.4,8,-6.8,8,,0,36.0,0,8,53.7,0,8,,,1,,,1,44,0,8,22,0,8
1984,2,1,1984,2,10,4.9,8,,0,-2.8,8,1.4,8,-0.5,8,4.0,8,-5.5,8,-1.4,8,-7.6,8,,0,54.5,0,8,41.7,0,8,,,1,,,1,76,0,8,22,0,8
1984,2,11,1984,2,20,4.6,8,,0,-1.0,8,1.8,8,1.3,8,4.6,8,-4.4,8,-1.1,8,-7.9,8,,0,13.0,0,8,42.2,0,8,,,1,,,1,53,0,8,17,0,8
1984,2,21,1984,2,29,5.1,8,,0,0.7,8,2.6,8,2.8,8,5.9,8,-1.8,8,-0.6,8,-3.5,8,,0,32.0,0,8,30.2,0,8,,,1,,,1,51,0,8,13,0,8
1984,3,1,1984,3,10,4.2,8,,0,0.1,8,3.2,8,3.1,8,6.5,8,-4.0,8,-0.1,8,-9.9,8,,0,29.5,0,8,34.4,0,8,,,1,,,1,52,0,8,10,0,8
1984,3,11,1984,3,20,6.7,8,,0,1.3,8,4.8,8,4.0,8,8.5,8,-1.6,8,1.1,8,-7.5,8,,0,23.0,0,8,36.6,0,8,,,1,,,1,41,0,8,5,0,8
1984,3,21,1984,3,31,13.0,8,,0,2.1,8,5.9,8,5.4,8,9.9,8,-1.9,8,1.9,8,-6.9,8,,0,59.0,0,8,35.7,0,8,,,1,,,1,9,0,8,2,0,8
1985,1,1,1985,1,10,9.2,8,,0,-0.5,8,2.3,8,1.8,8,5.0,8,-3.0,8,-0.3,8,-4.7,8,,0,19.0,0,8,65.6,0,8,,,1,,,1,31,0,8,13,0,8
1985,1,11,1985,1,20,7.1,8,,0,-1.2,8,1.5,8,1.9,8,4.1,8,-4.2,8,-1.2,8,-6.7,8,,0,41.0,0,8,48.8,0,8,,,1,,,1,24,0,8,17,0,8
1985,1,21,1985,1,31,5.5,8,,0,-1.3,8,1.2,8,0.9,8,3.8,8,-3.5,8,-1.4,8,-7.0,8,,0,20.0,0,8,53.7,0,8,,,1,,,1,21,0,8,22,0,8
1985,2,1,1985,2,10,9.5,8,,0,1.7,8,1.4,8,5.9,8,4.0,8,-2.7,8,-1.4,8,-6.8,8,,0,57.5,0,8,41.7,0,8,,,1,,,1,14,0,8,22,0,8
1985,2,11,1985,2,20,8.4,8,,0,2.1,8,1.8,8,4.5,8,4.6,8,-0.1,8,-1.1,8,-2.9,8,,0,22.0,0,8,42.2,0,8,,,1,,,1,2,0,8,17,0,8
1985,2,21,1985,2,28,6.4,8,,0,1.5,8,2.6,8,3.7,8,5.9,8,-0.8,8,-0.6,8,-3.0,8,,0,26.5,0,8,30.2,0,8,,,1,,,1,8,0,8,13,0,8
1985,3,1,1985,3,10,10.3,8,,0,2.8,8,3.2,8,6.1,8,6.5,8,0.0,8,-0.1,8,-1.6,8,,0,49.0,0,8,34.4,0,8,,,1,,,1,2,0,8,10,0,8
1985,3,11,1985,3,20,10.5,8,,0,3.4,8,4.8,8,6.8,8,8.5,8,-0.1,8,1.1,8,-2.7,8,,0,17.5,0,8,36.6,0,8,,,1,,,1,16,0,8,5,0,8
1985,3,21,1985,3,31,14.4,8,,0,5.3,8,5.9,8,9.1,8,9.9,8,1.3,8,1.9,8,-2.7,8,,0,38.5,0,8,35.7,0,8,,,1,,,1,0,0,8,2,0,8
1986,1,1,1986,1,10,5.5,8,,0,1.2,8,2.3,8,3.7,8,5.0,8,-0.8,8,-0.3,8,-3.4,8,,0,86.0,0,8,65.6,0,8,3.4,0,8,11.1,0,8,12,0,8,13,0,8
1986,1,11,1986,1,20,4.9,8,,0,0.7,8,1.5,8,2.9,8,4.1,8,-2.2,8,-1.2,8,-6.2,8,,0,33.0,0,8,48.8,0,8,18.8,0,8,13.2,0,8,14,0,8,17,0,8
1986,1,21,1986,1,31,3.3,8,,0,-1.7,8,1.2,8,0.5,8,3.8,8,-4.1,8,-1.4,8,-6.9,8,,0,21.5,0,8,53.7,0,8,9.4,0,8,15.2,0,8,12,0,8,22,0,8
1986,2,1,1986,2,10,3.3,8,,0,-1.7,8,1.4,8,0.5,8,4.0,8,-4.4,8,-1.4,8,-6.9,8,,0,29.5,0,8,41.7,0,8,7.1,0,8,15.6,0,8,34,0,8,22,0,8
1986,2,11,1986,2,20,7.4,8,,0,0.7,8,1.8,8,3.2,8,4.6,8,-2.4,8,-1.1,8,-5.1,8,,0,34.5,0,8,42.2,0,8,11.4,0,8,19.8,0,8,26,0,8,17,0,8
1986,2,21,1986,2,28,5.6,8,,0,0.3,8,2.6,8,3.1,8,5.9,8,-2.3,8,-0.6,8,-6.4,8,,0,56.0,0,8,30.2,0,8,15.8,0,8,23.9,0,8,49,0,8,13,0,8
1986,3,1,1986,3,10,13.0,8,,0,2.2,8,3.2,8,5.9,8,6.5,8,-2.0,8,-0.1,8,-3.6,8,,0,13.0,0,8,34.4,0,8,39.8,0,8,28.3,0,8,42,0,8,10,0,8
1986,3,11,1986,3,20,8.6,8,,0,3.9,8,4.8,8,6.7,8,8.5,8,0.9,8,1.1,8,-1.9,8,,0,40.5,0,8,36.6,0,8,20.8,0,8,36.9,0,8,1,0,8,5,0,8
1986,3,21,1986,3,31,15.3,8,,0,5.4,8,5.9,8,9.3,8,9.9,8,1.8,8,1.9,8,-0.2,8,,0,21.0,0,8,35.7,0,8,54.2,0,8,52.0,0,8,0,0,8,2,0,8
1987,1,1,1987,1,10,7.9,8,,0,0.4,8,2.3,8,3.7,8,5.0,8,-2.3,8,-0.3,8,-5.5,8,,0,40.0,0,8,65.6,0,8,5.0,0,8,11.1,0,8,10,0,8,13,0,8
1987,1,11,1987,1,20,10.6,8,,0,1.1,8,1.5,8,3.4,8,4.1,8,-1.6,8,-1.2,8,-5.0,8,,0,36.5,0,8,48.8,0,8,7.4,0,8,13.2,0,8,8,0,8,17,0,8
1987,1,21,1987,1,31,10.0,8,,0,1.8,8,1.2,8,4.9,8,3.8,8,-1.6,8,-1.4,8,-4.2,8,,0,64.0,0,8,53.7,0,8,16.9,0,8,15.2,0,8,7,0,8,22,0,8
1987,2,1,1987,2,10,14.1,8,,0,3.1,8,1.4,8,5.9,8,4.0,8,-0.4,8,-1.4,8,-4.5,8,,0,10.5,0,8,41.7,0,8,31.1,0,8,15.6,0,8,7,0,8,22,0,8
1987,2,11,1987,2,20,11.6,8,,0,1.0,8,1.8,8,3.7,8,4.6,8,-1.0,8,-1.1,8,-3.2,8,,0,88.0,0,8,42.2,0,8,14.4,0,8,19.8,0,8,6,0,8,17,0,8
1987,2,21,1987,2,28,12.7,8,,0,1.7,8,2.6,8,5.4,8,5.9,8,-1.5,8,-0.6,8,-3.4,8,,0,16.5,0,8,30.2,0,8,13.7,0,8,23.9,0,8,0,0,8,13,0,8
1987,3,1,1987,3,10,9.6,8,,0,2.0,8,3.2,8,4.8,8,6.5,8,-1.2,8,-0.1,8,-4.7,8,,0,32.0,0,8,34.4,0,8,10.2,0,8,28.3,0,8,4,0,8,10,0,8
1987,3,11,1987,3,20,13.1,8,,0,4.4,8,4.8,8,7.6,8,8.5,8,1.2,8,1.1,8,-1.0,8,,0,43.0,0,8,36.6,0,8,29.7,0,8,36.9,0,8,1,0,8,5,0,8
1987,3,21,1987,3,31,16.4,8,,0,6.2,8,5.9,8,11.1,8,9.9,8,2.0,8,1.9,8,-0.2,8,,0,59.0,0,8,35.7,0,8,55.4,0,8,52.0,0,8,1,0,8,2,0,8
1988,1,1,1988,1,10,9.0,8,,0,2.5,8,2.3,8,5.5,8,5.0,8,-0.2,8,-0.3,8,-2.8,8,,0,69.5,0,8,65.6,0,8,14.6,0,8,11.1,0,8,4,0,8,13,0,8
1988,1,11,1988,1,20,11.0,8,,0,3.1,8,1.5,8,6.3,8,4.1,8,-0.4,8,-1.2,8,-3.0,8,,0,27.0,0,8,48.8,0,8,15.1,0,8,13.2,0,8,9,0,8,17,0,8
1988,1,21,1988,1,31,14.8,8,,0,2.0,8,1.2,8,4.7,8,3.8,8,-0.5,8,-1.4,8,-2.7,8,,0,95.5,0,8,53.7,0,8,6.4,0,8,15.2,0,8,45,0,8,22,0,8
1988,2,1,1988,2,10,9.2,8,,0,-0.4,8,1.4,8,2.7,8,4.0,8,-3.3,8,-1.4,8,-6.2,8,,0,62.5,0,8,41.7,0,8,11.7,0,8,15.6,0,8,38,0,8,22,0,8
1988,2,11,1988,2,20,3.7,8,,0,-1.0,8,1.8,8,1.4,8,4.6,8,-3.3,8,-1.1,8,-6.0,8,,0,19.0,0,8,42.2,0,8,17.0,0,8,19.8,0,8,21,0,8,17,0,8
1988,2,21,1988,2,29,5.0,8,,0,0.4,8,2.6,8,2.9,8,5.9,8,-1.8,8,-0.6,8,-5.5,8,,0,17.5,0,8,30.2,0,8,29.1,0,8,23.9,0,8,42,0,8,13,0,8
1988,3,1,1988,3,10,6.2,8,,0,1.3,8,3.2,8,4.1,8,6.5,8,-1.7,8,-0.1,8,-4.9,8,,0,40.0,0,8,34.4,0,8,20.0,0,8,28.3,0,8,16,0,8,10,0,8
1988,3,11,1988,3,20,15.5,8,,0,4.7,8,4.8,8,9.0,8,8.5,8,0.2,8,1.1,8,-4.9,8,,0,26.5,0,8,36.6,0,8,31.3,0,8,36.9,0,8,5,0,8,5,0,8
1988,3,21,1988,3,31,11.5,8,,0,5.0,8,5.9,8,8.9,8,9.9,8,1.0,8,1.9,8,-1.2,8,,0,9.5,0,8,35.7,0,8,60.3,0,8,52.0,0,8,0,1,8,2,0,8
1989,1,1,1989,1,10,10.7,8,,0,4.5,8,2.3,8,7.5,8,5.0,8,1.4,8,-0.3,8,-1.8,8,,0,15.0,0,8,65.6,0,8,21.6,0,8,11.1,0,8,0,0,8,13,0,8
1989,1,11,1989,1,20,9.7,8,,0,2.8,8,1.5,8,5.3,8,4.1,8,0.1,8,-1.2,8,-3.3,8,,0,60.5,0,8,48.8,0,8,17.7,0,8,13.2,0,8,6,0,8,17,0,8
1989,1,21,1989,1,31,10.6,8,,0,1.9,8,1.2,8,5.1,8,3.8,8,-1.5,8,-1.4,8,-4.4,8,,0,48.0,0,8,53.7,0,8,23.9,0,8,15.2,0,8,10,0,8,22,0,8
1989,2,1,1989,2,10,8.4,8,,0,2.8,8,1.4,8,5.2,8,4.0,8,0.6,8,-1.4,8,-2.9,8,,0,46.0,0,8,41.7,0,8,11.1,0,8,15.6,0,8,8,0,8,22,0,8
1989,2,11,1989,2,20,9.8,8,,0,3.6,8,1.8,8,6.2,8,4.6,8,0.7,8,-1.1,8,-2.1,8,,0,48.5,0,8,42.2,0,8,31.9,0,8,19.8,0,8,12,0,8,17,0,8
1989,2,21,1989,2,28,13.1,8,,0,2.8,8,2.6,8,6.4,8,5.9,8,-0.2,8,-0.6,8,-2.1,8,,0,29.5,0,8,30.2,0,8,20.1,0,8,23.9,0,8,1,0,8,13,0,8
1989,3,1,1989,3,10,13.5,8,,0,4.7,8,3.2,8,8.2,8,6.5,8,1.3,8,-0.1,8,-1.2,8,,0,47.0,0,8,34.4,0,8,33.8,0,8,28.3,0,8,1,0,8,10,0,8
1989,3,11,1989,3,20,16.1,8,,0,6.5,8,4.8,8,9.5,8,8.5,8,3.9,8,1.1,8,1.7,8,,0,14.0,0,8,36.6,0,8,41.9,0,8,36.9,0,8,0,1,8,5,0,8
1989,3,21,1989,3,31,15.5,8,,0,6.7,8,5.9,8,10.6,8,9.9,8,3.1,8,1.9,8,-0.8,8,,0,22.5,0,8,35.7,0,8,44.0,0,8,52.0,0,8,0,1,8,2,0,8
1990,1,1,1990,1,10,12.0,8,,0,2.6,8,2.3,8,5.6,8,5.0,8,-0.2,8,-0.3,8,-2.5,8,,0,97.5,0,8,65.6,0,8,15.9,0,8,11.1,0,8,22,0,8,13,0,8
1990,1,11,1990,1,20,10.2,8,,0,1.1,8,1.5,8,4.4,8,4.1,8,-2.0,8,-1.2,8,-5.3,8,,0,55.0,0,8,48.8,0,8,13.1,0,8,13.2,0,8,21,0,8,17,0,8
1990,1,21,1990,1,31,4.7,8,,0,-2.3,8,1.2,8,0.2,8,3.8,8,-4.9,8,-1.4,8,-8.1,8,,0,50.5,0,8,53.7,0,8,14.6,0,8,15.2,0,8,22,0,8,22,0,8
1990,2,1,1990,2,10,7.8,8,,0,1.1,8,1.4,8,4.7,8,4.0,8,-2.8,8,-1.4,8,-5.8,8,,0,8.5,0,8,41.7,0,8,24.9,0,8,15.6,0,8,20,0,8,22,0,8
1990,2,11,1990,2,20,12.3,8,,0,5.2,8,1.8,8,7.9,8,4.6,8,2.5,8,-1.1,8,0.1,8,,0,34.0,0,8,42.2,0,8,17.3,0,8,19.8,0,8,0,0,8,17,0,8
1990,2,21,1990,2,28,12.6,8,,0,6.0,8,2.6,8,8.2,8,5.9,8,3.6,8,-0.6,8,-1.4,8,,0,24.0,0,8,30.2,0,8,12.0,0,8,23.9,0,8,0,1,8,13,0,8
1990,3,1,1990,3,10,12.4,8,,0,5.3,8,3.2,8,8.5,8,6.5,8,1.7,8,-0.1,8,-2.4,8,,0,37.0,0,8,34.4,0,8,38.5,0,8,28.3,0,8,0,0,8,10,0,8
1990,3,11,1990,3,20,13.5,8,,0,6.5,8,4.8,8,9.6,8,8.5,8,3.1,8,1.1,8,-0.4,8,,0,28.0,0,8,36.6,0,8,37.6,0,8,36.9,0,8,0,0,8,5,0,8
1990,3,21,1990,3,31,16.0,8,,0,6.5,8,5.9,8,10.8,8,9.9,8,1.9,8,1.9,8,-1.2,8,,0,37.5,0,8,35.7,0,8,61.1,0,8,52.0,0,8,5,0,8,2,0,8
1991,1,1,1991,1,10,9.7,8,,0,2.5,8,2.3,8,4.6,8,5.0,8,0.2,8,-0.3,8,-2.5,8,,0,102.0,0,8,65.6,0,8,5.2,0,8,11.1,0,8,43,0,8,13,0,8
1991,1,11,1991,1,20,8.2,8,,0,1.8,8,1.5,8,4.8,8,4.1,8,-1.3,8,-1.2,8,-3.7,8,,0,43.0,0,8,48.8,0,8,12.2,0,8,13.2,0,8,21,0,8,17,0,8
1991,1,21,1991,1,31,8.5,8,,0,2.1,8,1.2,8,4.3,8,3.8,8,-0.2,8,-1.4,8,-4.0,8,,0,35.5,0,8,53.7,0,8,7.4,0,8,15.2,0,8,18,0,8,22,0,8
1991,2,1,1991,2,10,4.9,8,,0,1.6,8,1.4,8,3.7,8,4.0,8,-0.6,8,-1.4,8,-1.7,8,,0,41.5,0,8,41.7,0,8,16.2,0,8,15.6,0,8,29,0,8,22,0,8
1991,2,11,1991,2,20,10.4,8,,0,2.2,8,1.8,8,5.7,8,4.6,8,-1.2,8,-1.1,8,-9.6,8,,0,53.0,0,8,42.2,0,8,28.2,0,8,19.8,0,8,16,0,8,17,0,8
1991,2,21,1991,2,28,8.0,8,,0,1.2,8,2.6,8,4.0,8,5.9,8,-1.5,8,-0.6,8,-5.7,8,,0,58.0,0,8,30.2,0,8,8.5,0,8,23.9,0,8,43,0,8,13,0,8
