ダウンロードした時刻：2025/08/04 21:50:48

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2017,6,27.7,8,1,0,8,1,32.3,8,1,0,8,1,27.6,8,3,0,8,3,29.6,8,1,0,8,1,25.2,8,3,0,8,3
2017,7,33.9,8,1,0,8,1,36.4,8,1,4,8,1,31.6,8,3,0,8,3,34.9,8,1,0,8,1,32.1,8,3,0,8,3
2017,8,35.2,8,1,1,8,1,34.4,8,1,0,8,1,33.5,8,3,0,8,3,29.6,8,1,0,8,1,31.1,8,3,0,8,3
2017,9,27.6,8,1,0,8,1,29.1,8,1,0,8,1,30.7,8,3,0,8,3,26.9,8,1,0,8,1,27.7,8,3,0,8,3
2018,6,30.9,8,1,0,8,1,37.5,8,1,1,8,1,28.9,8,3,0,8,3,30.7,8,1,0,8,1,27.4,8,3,0,8,3
2018,7,35.6,8,1,2,8,1,37.5,8,1,8,8,1,35.7,8,3,1,8,3,33.9,8,1,0,8,1,32.5,8,3,0,8,3
2018,8,38.9,8,1,2,8,1,39.0,8,1,5,8,1,37.7,8,3,1,8,3,32.5,8,1,0,8,1,33.0,8,3,0,8,3
2018,9,31.4,8,1,0,8,1,31.0,8,1,0,8,1,32.9,8,3,0,8,3,28.2,8,1,0,8,1,28.3,8,3,0,8,3
2019,6,29.3,8,1,0,8,1,32.4,8,1,0,8,1,26.9,8,3,0,8,3,29.4,8,1,0,8,1,27.3,8,3,0,8,3
2019,7,35.1,8,1,1,8,1,35.0,8,1,1,8,1,32.4,8,3,0,8,3,33.5,8,1,0,8,1,32.3,8,3,0,8,3
2019,8,37.9,8,1,3,8,1,36.8,8,1,9,8,1,38.1,8,3,2,8,3,34.2,8,1,0,8,1,33.4,8,3,0,8,3
2019,9,35.3,8,1,1,8,1,35.4,8,1,1,8,1,33.3,8,3,0,8,3,32.6,8,1,0,8,1,32.0,8,3,0,8,3
2020,6,31.1,8,1,0,8,1,34.5,8,1,0,8,1,29.6,8,3,0,8,3,30.0,8,1,0,8,1,29.1,8,3,0,8,3
2020,7,30.5,8,1,0,8,1,31.9,8,1,0,8,1,28.9,8,3,0,8,3,29.3,8,1,0,8,1,28.2,8,3,0,8,3
2020,8,35.7,8,1,1,8,1,37.0,8,1,8,8,1,33.2,8,3,0,8,3,34.3,8,1,0,8,1,33.1,8,3,0,8,3
2020,9,36.8,8,1,2,8,1,36.6,8,1,3,8,1,38.2,8,3,2,8,3,32.7,8,1,0,8,1,33.0,8,3,0,8,3
2021,6,33.1,8,1,0,8,1,32.4,8,1,0,8,1,28.1,8,3,0,8,3,30.6,8,1,0,8,1,28.3,8,3,0,8,3
2021,7,34.1,8,1,0,8,1,36.9,8,1,5,8,1,31.7,8,3,0,8,3,35.1,8,1,2,8,1,33.1,8,3,0,8,3
2021,8,36.8,8,1,2,8,1,37.5,8,1,5,8,1,34.7,8,3,0,8,3,35.0,8,1,1,8,1,35.1,5,3,1,5,3
2021,9,29.7,8,1,0,8,1,30.9,8,1,0,8,1,29.2,8,3,0,8,3,26.7,8,1,0,8,1,28.4,5,3,0,5,3
2022,6,31.8,8,1,0,8,1,34.1,8,1,0,8,1,30.3,8,3,0,8,3,30.6,8,1,0,8,1,27.4,8,3,0,8,3
2022,7,33.1,8,1,0,8,1,35.2,8,1,2,8,1,31.0,8,3,0,8,3,32.9,8,1,0,8,1,32.4,5,3,0,5,3
2022,8,33.7,8,1,0,8,1,36.5,8,1,5,8,1,32.0,8,3,0,8,3,30.5,8,1,0,8,1,32.4,8,3,0,8,3
2022,9,35.0,8,1,1,8,1,34.0,8,1,0,8,1,36.1,5,3,1,5,3,30.0,8,1,0,8,1,30.0,8,3,0,8,3
2023,6,30.9,8,1,0,8,1,31.5,8,1,0,8,1,29.1,8,3,0,8,3,31.2,8,1,0,8,1,27.0,8,3,0,8,3
2023,7,33.4,8,1,0,8,1,36.7,8,1,7,8,1,31.2,8,3,0,8,3,34.4,8,1,0,8,1,32.5,8,3,0,8,3
2023,8,38.8,8,1,18,8,1,38.2,8,1,20,8,1,37.8,8,3,8,8,3,36.3,8,1,3,8,1,36.0,8,3,4,8,3
2023,9,35.3,8,1,1,8,1,36.3,8,1,1,8,1,32.5,8,3,0,8,3,29.8,8,1,0,8,1,32.9,8,3,0,8,3
2024,6,32.5,8,1,0,8,1,33.6,8,1,0,8,1,30.3,8,3,0,8,3,31.3,8,1,0,8,1,29.9,8,3,0,8,3
2024,7,33.9,8,1,0,8,1,34.9,8,1,0,8,1,31.8,8,3,0,8,3,34.7,8,1,0,8,1,30.6,8,3,0,8,3
2024,8,35.9,8,1,2,8,1,37.0,8,1,3,8,1,33.9,8,3,0,8,3,34.1,8,1,0,8,1,32.9,5,3,0,5,3
2024,9,34.0,8,1,0,8,1,34.3,8,1,0,8,1,31.2,8,3,0,8,3,31.5,8,1,0,8,1,31.8,8,3,0,8,3
