ダウンロードした時刻：2025/08/04 21:50:48

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1987,8,34.3,8,1,0,8,1,36.0,8,1,1,8,1,35.3,8,1,1,8,1,30.1,8,1,0,8,1,30.7,5,1,0,5,1
1987,9,32.3,8,1,0,8,1,31.6,8,1,0,8,1,33.1,8,1,0,8,1,26.3,8,1,0,8,1,29.8,8,1,0,8,1
1988,6,29.8,8,1,0,8,1,29.4,8,1,0,8,1,27.3,8,1,0,8,1,28.4,8,1,0,8,1,26.1,8,1,0,8,1
1988,7,28.6,8,1,0,8,1,28.8,8,1,0,8,1,28.7,8,1,0,8,1,28.8,8,1,0,8,1,26.2,5,1,0,5,1
1988,8,34.1,8,1,0,8,1,34.5,8,1,0,8,1,34.7,8,1,0,8,1,32.6,8,1,0,8,1,31.3,8,1,0,8,1
1988,9,29.8,8,1,0,8,1,28.6,8,1,0,8,1,28.8,5,1,0,5,1,25.7,8,1,0,8,1,27.4,8,1,0,8,1
1989,6,28.9,8,1,0,8,1,29.4,8,1,0,8,1,32.0,8,1,0,8,1,27.2,8,1,0,8,1,28.2,8,1,0,8,1
1989,7,35.7,8,1,1,8,1,35.4,8,1,1,8,1,37.0,8,1,3,8,1,32.8,8,1,0,8,1,32.9,5,1,0,5,1
1989,8,34.2,8,1,0,8,1,34.1,8,1,0,8,1,33.3,8,1,0,8,1,33.2,8,1,0,8,1,32.1,8,1,0,8,1
1989,9,28.2,8,1,0,8,1,30.8,8,1,0,8,1,28.6,8,1,0,8,1,28.7,8,1,0,8,1,27.2,8,1,0,8,1
1990,6,31.1,8,1,0,8,1,33.2,8,1,0,8,1,29.2,8,1,0,8,1,27.9,8,1,0,8,1,26.0,8,1,0,8,1
1990,7,33.3,8,1,0,8,1,34.8,8,1,0,8,1,31.2,8,1,0,8,1,31.4,8,1,0,8,1,29.0,8,1,0,8,1
1990,8,38.1,8,1,1,8,1,36.3,8,1,4,8,1,36.1,8,1,1,8,1,32.3,8,1,0,8,1,33.2,8,1,0,8,1
1990,9,33.9,8,1,0,8,1,35.5,8,1,1,8,1,31.4,8,1,0,8,1,32.7,8,1,0,8,1,31.4,8,1,0,8,1
1991,6,31.0,8,1,0,8,1,32.3,8,1,0,8,1,28.9,8,1,0,8,1,30.3,8,1,0,8,1,26.9,8,1,0,8,1
1991,7,33.1,8,1,0,8,1,34.1,8,1,0,8,1,32.9,8,1,0,8,1,30.9,8,1,0,8,1,27.9,8,1,0,8,1
1991,8,34.9,8,1,0,8,1,34.4,8,1,0,8,1,35.5,8,1,1,8,1,30.1,8,1,0,8,1,30.8,8,1,0,8,1
1991,9,33.0,8,1,0,8,1,32.4,8,1,0,8,1,32.3,4,1,0,5,1,28.7,8,1,0,8,1,28.7,8,1,0,8,1
1992,6,27.9,8,1,0,8,1,30.4,8,1,0,8,1,27.8,8,1,0,8,1,28.3,8,1,0,8,1,25.2,8,1,0,8,1
1992,7,30.7,8,1,0,8,1,34.8,8,1,0,8,1,28.2,8,1,0,8,1,30.6,8,1,0,8,1,27.3,8,1,0,8,1
1992,8,34.1,8,1,0,8,1,35.5,8,1,1,8,1,31.6,8,1,0,8,1,29.7,8,1,0,8,1,32.1,8,1,0,8,1
1992,9,32.0,8,1,0,8,1,33.5,8,1,0,8,1,30.3,5,1,0,5,1,26.5,8,1,0,8,1,29.4,8,1,0,8,1
1993,6,27.9,8,1,0,8,1,30.5,8,1,0,8,1,28.5,8,1,0,8,1,24.6,8,1,0,8,1,24.4,8,1,0,8,1
1993,7,30.6,8,1,0,8,1,29.6,8,1,0,8,1,30.2,8,1,0,8,1,27.7,8,1,0,8,1,28.2,5,1,0,5,1
1993,8,31.7,8,1,0,8,1,32.6,8,1,0,8,1,32.5,8,1,0,8,1,30.1,8,1,0,8,1,29.5,8,1,0,8,1
1993,9,28.0,8,1,0,8,1,29.1,8,1,0,8,1,32.3,5,1,0,5,1,25.6,8,1,0,8,1,26.1,8,1,0,8,1
1994,6,28.7,8,1,0,8,1,31.3,8,1,0,8,1,25.7,8,1,0,8,1,28.1,8,1,0,8,1,26.5,8,1,0,8,1
1994,7,35.4,8,1,1,8,1,35.8,8,1,3,8,1,31.3,8,1,0,8,1,32.2,8,1,0,8,1,31.7,8,1,0,8,1
1994,8,37.1,8,1,4,8,1,38.9,8,1,14,8,1,33.8,8,1,0,8,1,36.2,8,1,1,8,1,33.4,8,1,0,8,1
1994,9,32.7,8,1,0,8,1,33.5,8,1,0,8,1,32.4,8,1,0,8,1,30.1,8,1,0,8,1,30.2,8,1,0,8,1
1995,6,29.1,8,1,0,8,1,30.2,8,1,0,8,1,25.7,4,1,0,4,1,25.1,8,1,0,8,1,25.0,8,1,0,8,1
1995,7,33.9,8,1,0,8,1,36.6,8,1,3,8,1,32.2,8,1,0,8,1,32.5,8,1,0,8,1,29.8,8,1,0,8,1
1995,8,33.3,8,1,0,8,1,35.4,8,1,1,8,1,31.8,8,1,0,8,1,28.2,8,1,0,8,1,30.1,8,1,0,8,1
1995,9,27.4,8,1,0,8,1,28.8,8,1,0,8,1,30.4,8,1,0,8,1,26.9,8,1,0,8,1,25.9,8,1,0,8,1
1996,6,31.2,8,1,0,8,1,29.2,8,1,0,8,1,24.5,8,1,0,8,1,26.6,8,1,0,8,1,26.2,8,1,0,8,1
1996,7,32.8,8,1,0,8,1,35.0,8,1,1,8,1,32.1,8,1,0,8,1,30.3,8,1,0,8,1,29.6,8,1,0,8,1
1996,8,34.2,8,1,0,8,1,34.8,8,1,0,8,1,30.8,8,1,0,8,1,31.9,8,1,0,8,1,31.0,8,1,0,8,1
1996,9,31.3,8,1,0,8,1,30.2,8,1,0,8,1,26.8,5,1,0,5,1,26.6,8,1,0,8,1,26.6,8,1,0,8,1
1997,6,29.7,8,1,0,8,1,33.1,8,1,0,8,1,25.5,8,1,0,8,1,30.2,8,1,0,8,1,27.3,8,1,0,8,1
1997,7,36.1,8,1,1,8,1,35.7,8,1,1,8,1,37.4,8,1,1,8,1,32.6,8,1,0,8,1,31.4,8,1,0,8,1
1997,8,35.0,8,1,1,8,1,37.3,8,1,3,8,1,32.8,8,1,0,8,1,31.4,8,1,0,8,1,30.5,8,1,0,8,1
1997,9,30.4,8,1,0,8,1,33.4,8,1,0,8,1,29.0,5,1,0,5,1,27.8,8,1,0,8,1,28.2,8,1,0,8,1
1998,6,26.0,8,1,0,8,1,30.8,8,1,0,8,1,26.9,5,1,0,5,1,27.3,8,1,0,8,1,23.8,8,1,0,8,1
1998,7,35.1,8,1,2,8,1,34.4,8,1,0,8,1,31.2,8,1,0,8,1,31.5,8,1,0,8,1,32.0,8,1,0,8,1
1998,8,33.3,8,1,0,8,1,32.5,8,1,0,8,1,30.9,8,1,0,8,1,28.7,8,1,0,8,1,29.9,8,1,0,8,1
1998,9,31.6,8,1,0,8,1,33.1,8,1,0,8,1,31.3,8,1,0,8,1,29.8,5,1,0,5,1,28.7,8,1,0,8,1
1999,6,29.6,8,1,0,8,1,32.5,8,1,0,8,1,29.3,8,1,0,8,1,28.9,8,1,0,8,1,25.9,8,1,0,8,1
1999,7,34.5,8,1,0,8,1,37.8,8,1,5,8,1,32.7,8,1,0,8,1,33.1,8,1,0,8,1,33.3,5,1,0,5,1
1999,8,37.0,8,1,10,8,1,36.8,8,1,9,8,1,34.0,8,1,0,8,1,35.2,8,1,1,8,1,33.6,8,1,0,8,1
1999,9,33.3,8,1,0,8,1,32.8,8,1,0,8,1,32.8,8,1,0,8,1,29.4,8,1,0,8,1,29.7,8,1,0,8,1
2000,6,30.0,8,1,0,8,1,32.5,8,1,0,8,1,27.4,8,1,0,8,1,29.9,8,1,0,8,1,26.8,8,1,0,8,1
2000,7,36.8,8,1,2,8,1,37.3,8,1,4,8,1,31.6,8,1,0,8,1,36.0,8,1,1,8,1,33.3,8,1,0,8,1
2000,8,35.2,8,1,2,8,1,35.5,8,1,2,8,1,33.7,8,1,0,8,1,35.9,8,1,1,8,1,32.7,8,1,0,8,1
2000,9,34.5,8,1,0,8,1,34.2,8,1,0,8,1,33.1,8,1,0,8,1,27.2,8,1,0,8,1,30.3,5,1,0,5,1
2001,6,30.4,8,1,0,8,1,29.6,8,1,0,8,1,26.2,8,1,0,8,1,29.3,8,1,0,8,1,26.6,8,1,0,8,1
2001,7,32.9,8,1,0,8,1,35.7,8,1,2,8,1,31.9,8,1,0,8,1,28.9,8,1,0,8,1,30.0,8,1,0,8,1
2001,8,33.6,8,1,0,8,1,33.1,8,1,0,8,1,30.7,8,1,0,8,1,29.1,8,1,0,8,1,30.7,8,1,0,8,1
