ダウンロードした時刻：2025/08/04 21:50:04

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1985,1,-7.0,8,1,10,8,1,-10.3,8,1,18,8,1,-5.6,5,1,10,8,1,-16.8,8,1,27,8,1,-5.9,8,1,10,8,1
1985,2,-6.8,8,1,0,8,1,-7.8,8,1,3,8,1,-2.8,8,1,0,8,1,-10.6,8,1,10,8,1,-3.0,5,1,1,8,1
1985,3,-2.7,8,1,0,8,1,-6.2,8,1,1,8,1,-2.4,8,1,0,8,1,-9.7,8,1,5,8,1,-2.2,5,1,1,8,1
1985,11,0.0,8,1,0,8,1,-2.6,8,1,0,8,1,0.3,8,1,0,8,1,-5.3,8,1,3,8,1,0.7,8,1,0,8,1
1985,12,-6.6,8,1,1,8,1,-5.4,8,1,2,8,1,-4.0,5,1,1,8,1,-13.4,8,1,21,8,1,-4.7,8,1,3,8,1
1986,1,-6.9,8,1,7,8,1,-9.9,8,1,9,8,1,-5.6,8,1,8,8,1,-15.3,8,1,23,8,1,-7.2,8,1,8,8,1
1986,2,-6.9,8,1,3,8,1,-11.2,8,1,8,8,1,-4.3,5,1,5,5,1,-14.4,8,1,19,8,1,-5.0,5,1,6,8,1
1986,3,-3.6,8,1,0,8,1,-7.5,8,1,0,8,1,-4.0,8,1,0,8,1,-16.2,8,1,3,8,1,-2.8,8,1,0,8,1
1986,11,-0.8,8,1,0,8,1,-2.7,8,1,0,8,1,1.8,8,1,0,8,1,-4.0,8,1,0,8,1,0.6,8,1,0,8,1
1986,12,-3.5,8,1,0,8,1,-5.0,8,1,0,8,1,-2.0,8,1,0,8,1,-9.3,8,1,9,8,1,-2.4,8,1,0,8,1
