ダウンロードした時刻：2020/03/14 11:22:31

,,酒田,酒田,酒田,酒田,酒田,酒田
年,月,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号
2020,1,4.2,8,1,11.7,8,1
2020,2,4.0,8,1,13.6,8,1
2020,3,7.1,4,1,17.4,4,1
