ダウンロードした時刻：2020/03/14 11:22:05

集計開始,集計終了,酒田,酒田,酒田,酒田,酒田,酒田
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号
2020/1/1,2020/1/10,4.4,8,1,11.7,8,1
2020/1/11,2020/1/20,3.9,8,1,8.6,8,1
2020/1/21,2020/1/31,4.4,8,1,9.9,8,1
2020/2/1,2020/2/10,1.7,8,1,10.7,8,1
2020/2/11,2020/2/20,5.1,8,1,13.6,8,1
2020/2/21,2020/2/29,5.2,8,1,10.9,8,1
2020/3/1,2020/3/10,7.4,8,1,17.4,8,1
